geo,year,permanent
BE22,2021,295423.0
BE22,2022,308988.0
BE22,2023,311724.0
BE23,2008,513574.0
BE23,2009,503626.0
BE23,2010,510785.0
BE23,2011,503075.0
BE23,2012,520275.0
BE23,2013,516048.0
BE23,2014,519162.0
BE23,2015,510591.0
BE23,2016,519958.0
BE23,2017,517345.0
BE23,2018,539815.0
BE23,2019,551747.0
BE23,2020,541587.0
BE23,2021,541860.0
BE23,2022,557755.0
BE23,2023,559308.0
BE24,2008,385268.0
BE24,2009,387615.0
BE24,2010,391161.0
BE24,2011,391918.0
BE24,2012,389263.0
BE24,2013,390886.0
BE24,2014,387711.0
BE24,2015,383428.0
BE24,2016,393001.0
BE24,2017,398031.0
BE24,2018,404438.0
BE24,2019,407768.0
BE24,2020,411099.0
BE24,2021,399003.0
BE24,2022,402258.0
BE24,2023,413268.0
BE25,2008,384550.0
BE25,2009,376383.0
BE25,2010,387520.0
BE25,2011,390452.0
BE25,2012,382300.0
BE25,2013,382102.0
BE25,2014,388048.0
BE25,2015,384436.0
BE25,2016,389613.0
BE25,2017,389075.0
BE25,2018,413478.0
BE25,2019,408704.0
BE25,2020,407838.0
BE25,2021,407711.0
BE25,2022,415803.0
BE25,2023,424377.0
BE31,2008,119593.0
BE31,2009,115950.0
BE31,2010,116963.0
BE31,2011,120800.0
BE31,2012,121970.0
BE31,2013,120117.0
BE31,2014,120182.0
BE31,2015,117284.0
BE31,2016,121242.0
BE31,2017,121691.0
BE31,2018,123184.0
BE31,2019,124357.0
BE31,2020,127957.0
BE31,2021,125766.0
BE31,2022,125769.0
BE31,2023,129734.0
BE32,2008,375185.0
BE32,2009,363496.0
BE32,2010,372820.0
BE32,2011,372875.0
BE32,2012,376820.0
BE32,2013,372008.0
BE32,2014,363502.0
BE32,2015,364853.0
BE32,2016,369981.0
BE32,2017,375144.0
BE32,2018,373827.0
BE32,2019,380616.0
BE32,2020,357723.0
BE32,2021,384555.0
BE32,2022,382095.0
BE32,2023,396518.0
BE33,2008,303123.0
BE33,2009,299652.0
BE33,2010,311381.0
BE33,2011,308936.0
BE33,2012,310772.0
BE33,2013,306593.0
BE33,2014,305044.0
BE33,2015,308311.0
BE33,2016,306150.0
BE33,2017,302564.0
BE33,2018,320306.0
BE33,2019,316386.0
BE33,2020,322410.0
BE33,2021,324267.0
BE33,2022,327743.0
BE33,2023,317359.0
BE34,2008,83183.0
BE34,2009,82727.0
BE34,2010,86214.0
BE34,2011,86364.0
BE34,2012,88502.0
BE34,2013,87581.0
BE34,2014,89058.0
BE34,2015,85188.0
BE34,2016,86874.0
BE34,2017,93340.0
BE34,2018,91873.0
BE34,2019,92620.0
BE34,2020,97521.0
BE34,2021,95680.0
BE34,2022,95697.0
BE34,2023,94037.0
BE35,2008,141727.0
BE35,2009,143603.0
BE35,2010,143303.0
BE35,2011,145856.0
BE35,2012,145635.0
BE35,2013,144250.0
BE35,2014,153625.0
BE35,2015,142060.0
BE35,2016,146844.0
BE35,2017,145863.0
BE35,2018,147758.0
BE35,2019,155374.0
BE35,2020,157614.0
BE35,2021,152766.0
BE35,2022,156864.0
BE35,2023,155693.0
BG31,2008,302577.0
BG31,2009,288174.0
BG31,2010,258372.0
BG31,2011,246081.0
BG31,2012,250710.0
