geo,year,part_time
BG42,2019,7747.0
BG42,2020,5649.0
BG42,2021,4913.0
BG42,2022,7840.0
BG42,2023,5205.0
CY00,2008,25101.0
CY00,2009,27972.0
CY00,2010,31774.0
CY00,2011,34557.0
CY00,2012,36159.0
CY00,2013,42383.0
CY00,2014,47856.0
CY00,2015,45511.0
CY00,2016,47516.0
CY00,2017,45229.0
CY00,2018,42202.0
CY00,2019,41737.0
CY00,2020,41297.0
CY00,2021,43990.0
CY00,2022,42833.0
CY00,2023,38249.0
CZ01,2008,36500.0
CZ01,2009,45876.0
CZ01,2010,49577.0
CZ01,2011,33033.0
CZ01,2012,52082.0
CZ01,2013,52347.0
CZ01,2014,55238.0
CZ01,2015,42311.0
CZ01,2016,49986.0
CZ01,2017,65615.0
CZ01,2018,61902.0
CZ01,2019,64379.0
CZ01,2020,55701.0
CZ01,2021,67231.0
CZ01,2022,73852.0
CZ01,2023,55719.0
CZ02,2008,18605.0
CZ02,2009,17996.0
CZ02,2010,27725.0
CZ02,2011,22126.0
CZ02,2012,28192.0
CZ02,2013,26356.0
CZ02,2014,25412.0
CZ02,2015,29472.0
CZ02,2016,28012.0
CZ02,2017,28735.0
CZ02,2018,28799.0
CZ02,2019,22918.0
CZ02,2020,26517.0
CZ02,2021,28589.0
CZ02,2022,23551.0
CZ02,2023,24108.0
CZ03,2008,25733.0
CZ03,2009,28404.0
CZ03,2010,26719.0
CZ03,2011,24291.0
CZ03,2012,26681.0
CZ03,2013,24184.0
CZ03,2014,26330.0
CZ03,2015,23673.0
CZ03,2016,28872.0
CZ03,2017,32180.0
CZ03,2018,33789.0
CZ03,2019,36012.0
CZ03,2020,29766.0
CZ03,2021,27078.0
CZ03,2022,38550.0
CZ03,2023,50886.0
CZ04,2008,12622.0
CZ04,2009,15921.0
CZ04,2010,18643.0
CZ04,2011,16614.0
CZ04,2012,18003.0
CZ04,2013,15965.0
CZ04,2014,18032.0
CZ04,2015,16123.0
CZ04,2016,18513.0
CZ04,2017,20420.0
CZ04,2018,19880.0
CZ04,2019,20302.0
CZ04,2020,16202.0
CZ04,2021,27974.0
CZ04,2022,21728.0
CZ04,2023,22237.0
CZ05,2008,29023.0
CZ05,2009,34707.0
CZ05,2010,36426.0
CZ05,2011,34124.0
CZ05,2012,39045.0
CZ05,2013,34477.0
CZ05,2014,36593.0
CZ05,2015,40420.0
CZ05,2016,37019.0
CZ05,2017,49722.0
CZ05,2018,39982.0
CZ05,2019,43215.0
CZ05,2020,32701.0
CZ05,2021,45848.0
CZ05,2022,48678.0
CZ05,2023,51307.0
CZ06,2008,37320.0
CZ06,2009,41704.0
CZ06,2010,39687.0
CZ06,2011,39569.0
CZ06,2012,42785.0
CZ06,2013,45392.0
CZ06,2014,47877.0
CZ06,2015,43983.0
CZ06,2016,58485.0
CZ06,2017,47461.0
CZ06,2018,55956.0
CZ06,2019,53626.0
CZ06,2020,48883.0
CZ06,2021,63716.0
CZ06,2022,62877.0
CZ06,2023,70690.0
CZ07,2008,22730.0
CZ07,2009,20343.0
CZ07,2010,22452.0
CZ07,2011,18993.0
CZ07,2012,25324.0
CZ07,2013,28822.0
CZ07,2014,26530.0
CZ07,2015,23721.0
CZ07,2016,30078.0
CZ07,2017,33629.0
CZ07,2018,36141.0
CZ07,2019,30484.0
CZ07,2020,22282.0
CZ07,2021,33093.0
CZ07,2022,33172.0
CZ07,2023,35464.0
CZ08,2008,27276.0
CZ08,2009,27140.0
CZ08,2010,25631.0
CZ08,2011,23146.0
CZ08,2012,26556.0
CZ08,2013,27192.0
CZ08,2014,24630.0
CZ08,2015,30618.0
CZ08,2016,32044.0
CZ08,2017,39460.0
CZ08,2018,49571.0
CZ08,2019,34379.0
CZ08,2020,31561.0
CZ08,2021,33243.0
CZ08,2022,40242.0
CZ08,2023,42059.0
DE10,2008,1310102.0
DE10,2009,1278742.0
DE10,2010,1257799.0
DE10,2011,1299968.0
DE10,2012,1304647.0
DE10,2013,1442995.0
DE10,2014,1469391.0
DE10,2015,1511949.0
DE10,2016,1519840.0
DE10,2017,1550400.0
DE10,2018,1543305.0
DE10,2019,1552484.0
DE10,2020,1573885.0
DE10,2021,1543952.0
DE10,2022,1587994.0
DE10,2023,1655944.0
DE20,2008,1450083.0
DE20,2009,1531380.0
DE20,2010,1449483.0
DE20,2011,1466507.0
DE20,2012,1498900.0
DE20,2013,1604223.0
DE20,2014,1650394.0
DE20,2015,1669587.0
DE20,2016,1699231.0
DE20,2017,1724363.0
DE20,2018,1739291.0
DE20,2019,1762368.0
DE20,2020,1857448.0
DE20,2021,1878218.0
DE20,2022,1901699.0
DE20,2023,1991046.0
DE30,2008,348687.0
DE30,2009,411565.0
DE30,2010,364214.0
DE30,2011,368012.0
DE30,2012,382027.0
DE30,2013,419980.0
DE30,2014,421886.0
DE30,2015,430506.0
DE30,2016,444162.0
DE30,2017,458737.0
DE30,2018,461805.0
DE30,2019,486855.0
DE30,2020,456557.0
DE30,2021,509971.0
DE30,2022,510895.0
DE30,2023,550589.0
DE40,2008,239969.0
DE40,2009,240010.0
DE40,2010,191811.0
DE40,2011,207149.0
DE40,2012,216570.0
DE40,2013,253580.0
DE40,2014,254933.0
DE40,2015,262606.0
