geo,year,involuntary_temporary
DEC0,2012,7567.0
DEC0,2013,5690.0
DEC0,2014,5261.0
DEC0,2015,4534.0
DEC0,2016,8477.0
DEC0,2017,6216.0
DEC0,2018,4878.0
DEC0,2019,3591.0
DEC0,2020,1232.0
DEC0,2021,2281.0
DEC0,2022,1192.0
DEC0,2023,1163.0
DED0,2008,85230.0
DED0,2009,69762.0
DED0,2010,106826.0
DED0,2011,68003.0
DED0,2012,59239.0
DED0,2013,48801.0
DED0,2014,48249.0
DED0,2015,44990.0
DED0,2016,44742.0
DED0,2017,39061.0
DED0,2018,43721.0
DED0,2019,31852.0
DED0,2020,16108.0
DED0,2021,18340.0
DED0,2022,16026.0
DED0,2023,9202.0
DEE0,2008,58520.0
DEE0,2009,33863.0
DEE0,2010,41666.0
DEE0,2011,28725.0
DEE0,2012,32637.0
DEE0,2013,29601.0
DEE0,2014,23082.0
DEE0,2015,22372.0
DEE0,2016,29157.0
DEE0,2017,22634.0
DEE0,2018,20486.0
DEE0,2019,17817.0
DEE0,2020,15973.0
DEE0,2021,5108.0
DEE0,2022,6697.0
DEE0,2023,5068.0
DEF0,2008,28296.0
DEF0,2009,35261.0
DEF0,2010,18512.0
DEF0,2011,30233.0
DEF0,2012,20683.0
DEF0,2013,17730.0
DEF0,2014,18145.0
DEF0,2015,19313.0
DEF0,2016,18669.0
DEF0,2017,20952.0
DEF0,2018,14888.0
DEF0,2019,15178.0
DEF0,2020,7783.0
DEF0,2021,9605.0
DEF0,2022,10927.0
DEF0,2023,4072.0
DEG0,2008,38917.0
DEG0,2009,33727.0
DEG0,2010,25862.0
DEG0,2011,28033.0
DEG0,2012,27380.0
DEG0,2013,22924.0
DEG0,2014,21538.0
DEG0,2015,19671.0
DEG0,2016,20281.0
DEG0,2017,20446.0
DEG0,2018,16389.0
DEG0,2019,15547.0
DEG0,2020,7435.0
DEG0,2021,8536.0
DEG0,2022,6062.0
DEG0,2023,5424.0
DK01,2008,23351.0
DK01,2009,28342.0
DK01,2010,29989.0
DK01,2011,31053.0
DK01,2012,37462.0
DK01,2013,36856.0
DK01,2014,35939.0
DK01,2015,30210.0
DK01,2016,39881.0
DK01,2017,43547.0
DK01,2018,33662.0
DK01,2019,33986.0
DK01,2020,35208.0
DK01,2021,15232.0
DK01,2022,14519.0
DK01,2023,10399.0
DK02,2008,10155.0
DK02,2009,10671.0
DK02,2010,10953.0
DK02,2011,12711.0
DK02,2012,11239.0
DK02,2013,10428.0
DK02,2014,11017.0
DK02,2015,8484.0
DK02,2016,13470.0
DK02,2017,13304.0
DK02,2018,11033.0
DK02,2019,11946.0
DK02,2020,11586.0
DK02,2021,6363.0
DK02,2022,4024.0
DK02,2023,3953.0
DK03,2008,16055.0
DK03,2009,17103.0
DK03,2010,18469.0
DK03,2011,18201.0
DK03,2012,19143.0
DK03,2013,18376.0
DK03,2014,20911.0
DK03,2015,14619.0
DK03,2016,20901.0
DK03,2017,26856.0
DK03,2018,20911.0
DK03,2019,18505.0
DK03,2020,17360.0
DK03,2021,9367.0
DK03,2022,6530.0
DK03,2023,7422.0
DK04,2008,19649.0
DK04,2009,21831.0
DK04,2010,21884.0
DK04,2011,20528.0
DK04,2012,22533.0
DK04,2013,23380.0
DK04,2014,26205.0
DK04,2015,20777.0
DK04,2016,24468.0
DK04,2017,25034.0
DK04,2018,22969.0
DK04,2019,22774.0
DK04,2020,21196.0
DK04,2021,10664.0
DK04,2022,7281.0
DK04,2023,7596.0
DK05,2008,9558.0
DK05,2009,10209.0
DK05,2010,11011.0
DK05,2011,9934.0
DK05,2012,10040.0
DK05,2013,10406.0
DK05,2014,10170.0
DK05,2015,7389.0
DK05,2016,12267.0
DK05,2017,12350.0
DK05,2018,9868.0
DK05,2019,9032.0
DK05,2020,8536.0
DK05,2021,5271.0
DK05,2022,3398.0
DK05,2023,2848.0
EE00,2008,4586.0
EE00,2009,5379.0
EE00,2010,6839.0
EE00,2011,7559.0
EE00,2012,7150.0
EE00,2013,5675.0
EE00,2014,4331.0
EE00,2015,4773.0
EE00,2016,3812.0
EE00,2017,2140.0
EE00,2018,2859.0
EE00,2019,1008.0
EE00,2020,1873.0
EE00,2021,2939.0
EE00,2022,909.0
EE00,2023,1073.0
EL30,2008,86237.0
EL30,2009,93379.0
EL30,2010,92694.0
EL30,2011,88454.0
EL30,2012,51990.0
EL30,2013,37062.0
EL30,2014,41141.0
EL30,2015,44019.0
EL30,2016,41541.0
EL30,2017,46323.0
EL30,2018,40635.0
EL30,2019,51069.0
EL30,2020,52145.0
EL30,2021,44681.0
EL30,2022,21319.0
EL30,2023,74045.0
EL41,2008,3934.0
EL41,2009,4121.0
EL41,2010,5125.0
EL41,2011,4575.0
EL41,2012,3752.0
EL41,2013,3340.0
EL41,2014,4914.0
EL41,2015,4118.0
EL41,2016,2968.0
EL41,2017,3738.0
EL41,2018,4929.0
EL41,2019,6674.0
EL41,2020,5056.0
EL41,2021,3370.0
EL41,2022,2435.0
EL41,2023,2216.0
EL42,2008,12421.0
EL42,2009,16332.0
EL42,2010,18528.0
EL42,2011,17216.0
EL42,2012,13631.0
EL42,2013,15714.0
EL42,2014,21294.0
EL42,2015,14398.0
EL42,2016,14942.0
EL42,2017,18072.0
EL42,2018,15043.0
EL42,2019,15231.0
EL42,2020,8859.0
EL42,2021,6140.0
EL42,2022,3727.0
EL42,2023,8986.0
EL43,2008,17554.0
EL43,2009,19878.0
EL43,2010,21803.0
EL43,2011,21742.0
EL43,2012,23071.0
EL43,2013,21029.0
EL43,2014,19454.0
EL43,2015,18157.0
EL43,2016,19527.0
EL43,2017,22879.0
EL43,2018,25874.0
EL43,2019,33908.0
EL43,2020,20806.0
EL43,2021,12120.0
EL43,2022,8929.0
EL43,2023,16754.0
EL51,2008,9176.0
EL51,2009,9649.0
EL51,2010,8047.0
EL51,2011,6029.0
EL51,2012,6308.0
EL51,2013,5333.0
EL51,2014,8048.0
EL51,2015,11168.0
EL51,2016,9576.0
EL51,2017,7695.0
EL51,2018,9656.0
EL51,2019,15554.0
EL51,2020,11535.0
EL51,2021,7381.0
EL51,2022,4125.0
EL51,2023,11436.0
EL52,2008,43058.0
EL52,2009,41808.0
EL52,2010,44403.0
EL52,2011,34395.0
EL52,2012,29233.0
EL52,2013,30204.0
EL52,2014,30443.0
EL52,2015,30852.0
EL52,2016,35649.0
EL52,2017,42295.0
EL52,2018,44983.0
EL52,2019,41176.0
EL52,2020,31880.0
EL52,2021,18611.0
EL52,2022,10573.0
EL52,2023,17528.0
EL53,2008,8897.0
EL53,2009,7485.0
EL53,2010,6687.0
EL53,2011,5029.0
EL53,2012,6942.0
EL53,2013,7339.0
EL53,2014,9289.0
EL53,2015,9032.0
EL53,2016,8655.0
EL53,2017,8367.0
EL53,2018,7440.0
EL53,2019,9421.0
EL53,2020,8653.0
EL53,2021,7213.0
EL53,2022,8004.0
EL53,2023,8178.0
EL54,2008,9202.0
EL54,2009,6143.0
EL54,2010,7043.0
EL54,2011,6053.0
EL54,2012,4419.0
EL54,2013,4334.0
EL54,2014,3673.0
EL54,2015,4493.0
EL54,2016,4802.0
EL54,2017,4700.0
