geo,year,EU_labor_market_workforce_education__geo_label,EU_labor_market_workforce_education__Country_code,EU_labor_market_workforce_education__education_level,EU_labor_market_workforce_education__education_level_pct,EU_labor_market_workforce_education__education_level_pct_diff,_row_order_,__conflict_file
BE2,2012,Vlaams Gewest,BE,medium,38.5,-2.5316455696202533,6328,EU_labor_market_workforce_education
BE2,2012,Vlaams Gewest,BE,high,35.4,3.2069970845481093,12601,EU_labor_market_workforce_education
BE2,2013,Vlaams Gewest,BE,low,24.6,-5.747126436781609,56,EU_labor_market_workforce_education
BE2,2013,Vlaams Gewest,BE,medium,39.4,2.337662337662334,6329,EU_labor_market_workforce_education
BE2,2013,Vlaams Gewest,BE,high,36.0,1.6949152542372925,12602,EU_labor_market_workforce_education
BE2,2014,Vlaams Gewest,BE,low,23.9,-2.845528455284564,57,EU_labor_market_workforce_education
BE2,2014,Vlaams Gewest,BE,medium,38.9,-1.269035532994924,6330,EU_labor_market_workforce_education
BE2,2014,Vlaams Gewest,BE,high,37.2,3.333333333333341,12603,EU_labor_market_workforce_education
BE2,2015,Vlaams Gewest,BE,low,22.9,-4.1841004184100425,58,EU_labor_market_workforce_education
BE2,2015,Vlaams Gewest,BE,medium,39.9,2.570694087403599,6331,EU_labor_market_workforce_education
BE2,2015,Vlaams Gewest,BE,high,37.2,0.0,12604,EU_labor_market_workforce_education
BE2,2016,Vlaams Gewest,BE,low,22.6,-1.3100436681222585,59,EU_labor_market_workforce_education
BE2,2016,Vlaams Gewest,BE,medium,39.5,-1.0025062656641568,6332,EU_labor_market_workforce_education
BE2,2016,Vlaams Gewest,BE,high,37.9,1.8817204301075152,12605,EU_labor_market_workforce_education
BE2,2017,Vlaams Gewest,BE,low,20.6,-8.849557522123893,60,EU_labor_market_workforce_education
BE2,2017,Vlaams Gewest,BE,medium,38.6,-2.2784810126582244,6333,EU_labor_market_workforce_education
BE2,2017,Vlaams Gewest,BE,high,40.8,7.651715039577834,12606,EU_labor_market_workforce_education
BE2,2018,Vlaams Gewest,BE,low,19.0,-7.766990291262142,61,EU_labor_market_workforce_education
