geo,year,involuntary_part_time
EL54,2021,1670.0
EL54,2022,3603.0
EL54,2023,3205.0
EL61,2008,5477.0
EL61,2009,6366.0
EL61,2010,5970.0
EL61,2011,6762.0
EL61,2012,8411.0
EL61,2013,12936.0
EL61,2014,15784.0
EL61,2015,13459.0
EL61,2016,12227.0
EL61,2017,12958.0
EL61,2018,10401.0
EL61,2019,10199.0
EL61,2020,11744.0
EL61,2021,10633.0
EL61,2022,16738.0
EL61,2023,5974.0
EL62,2008,898.0
EL62,2009,1044.0
EL62,2010,1149.0
EL62,2011,2281.0
EL62,2012,3656.0
EL62,2013,1974.0
EL62,2014,1197.0
EL62,2015,1018.0
EL62,2016,1675.0
EL62,2017,1688.0
EL62,2018,1150.0
EL62,2019,1335.0
EL62,2020,1171.0
EL62,2021,730.0
EL62,2022,903.0
EL62,2023,614.0
EL63,2008,4893.0
EL63,2009,5689.0
EL63,2010,5450.0
EL63,2011,5348.0
EL63,2012,5884.0
EL63,2013,7019.0
EL63,2014,7673.0
EL63,2015,9244.0
EL63,2016,13105.0
EL63,2017,10354.0
EL63,2018,9405.0
EL63,2019,8773.0
EL63,2020,12075.0
EL63,2021,15760.0
EL63,2022,7782.0
EL63,2023,3690.0
EL64,2008,6007.0
EL64,2009,3814.0
EL64,2010,4167.0
EL64,2011,5570.0
EL64,2012,7036.0
EL64,2013,4402.0
EL64,2014,5551.0
EL64,2015,7727.0
EL64,2016,10010.0
EL64,2017,10612.0
EL64,2018,12594.0
EL64,2019,10172.0
EL64,2020,6753.0
EL64,2021,6077.0
EL64,2022,7300.0
EL64,2023,5663.0
EL65,2008,4336.0
EL65,2009,3901.0
EL65,2010,5709.0
EL65,2011,6445.0
EL65,2012,7052.0
EL65,2013,8492.0
EL65,2014,10099.0
EL65,2015,9188.0
EL65,2016,7730.0
EL65,2017,7637.0
EL65,2018,6434.0
EL65,2019,5558.0
EL65,2020,4817.0
EL65,2021,2776.0
EL65,2022,6092.0
EL65,2023,3341.0
