geo,year,involuntary_temporary
CZ03,2013,20433.0
CZ03,2014,20672.0
CZ03,2015,21245.0
CZ03,2016,18002.0
CZ03,2017,17105.0
CZ03,2018,10228.0
CZ03,2019,14756.0
CZ03,2020,15372.0
CZ03,2021,6594.0
CZ03,2022,5743.0
CZ03,2023,4273.0
CZ04,2008,12777.0
CZ04,2009,15658.0
CZ04,2010,19989.0
CZ04,2011,20665.0
CZ04,2012,15708.0
CZ04,2013,17879.0
CZ04,2014,15221.0
CZ04,2015,13886.0
CZ04,2016,19968.0
CZ04,2017,25326.0
CZ04,2018,16098.0
CZ04,2019,16857.0
CZ04,2020,15332.0
CZ04,2021,5816.0
CZ04,2022,6212.0
CZ04,2023,6788.0
CZ05,2008,18772.0
CZ05,2009,17748.0
CZ05,2010,25899.0
CZ05,2011,24543.0
CZ05,2012,32114.0
CZ05,2013,35739.0
CZ05,2014,33526.0
CZ05,2015,36443.0
CZ05,2016,35453.0
CZ05,2017,39195.0
CZ05,2018,27380.0
CZ05,2019,27019.0
CZ05,2020,18973.0
CZ05,2021,17880.0
CZ05,2022,14321.0
CZ05,2023,12269.0
CZ06,2008,25601.0
CZ06,2009,25615.0
CZ06,2010,28316.0
CZ06,2011,29382.0
CZ06,2012,30221.0
CZ06,2013,33761.0
CZ06,2014,30604.0
CZ06,2015,37258.0
CZ06,2016,39138.0
CZ06,2017,37978.0
CZ06,2018,22514.0
CZ06,2019,21233.0
CZ06,2020,20086.0
CZ06,2021,13255.0
CZ06,2022,9917.0
CZ06,2023,5452.0
CZ07,2008,18057.0
CZ07,2009,16895.0
CZ07,2010,18351.0
CZ07,2011,18661.0
CZ07,2012,21587.0
CZ07,2013,23031.0
CZ07,2014,32482.0
CZ07,2015,34059.0
CZ07,2016,32895.0
CZ07,2017,27335.0
CZ07,2018,24128.0
CZ07,2019,23640.0
CZ07,2020,17616.0
CZ07,2021,6197.0
CZ07,2022,6105.0
CZ07,2023,4077.0
CZ08,2008,28428.0
CZ08,2009,26454.0
CZ08,2010,27272.0
CZ08,2011,26950.0
CZ08,2012,28363.0
CZ08,2013,22070.0
CZ08,2014,24986.0
CZ08,2015,27384.0
CZ08,2016,31183.0
CZ08,2017,32178.0
CZ08,2018,31904.0
CZ08,2019,26788.0
CZ08,2020,24338.0
CZ08,2021,16371.0
CZ08,2022,11717.0
CZ08,2023,11341.0
DE10,2008,44313.0
DE10,2009,48474.0
DE10,2010,45829.0
DE10,2011,54985.0
DE10,2012,51388.0
DE10,2013,44276.0
DE10,2014,44472.0
DE10,2015,40458.0
DE10,2016,55820.0
DE10,2017,60165.0
DE10,2018,56338.0
DE10,2019,42830.0
DE10,2020,22928.0
DE10,2021,24773.0
DE10,2022,24073.0
DE10,2023,21973.0
DE20,2008,46485.0
DE20,2009,40830.0
DE20,2010,37832.0
DE20,2011,49671.0
DE20,2012,50534.0
DE20,2013,43446.0
DE20,2014,46405.0
DE20,2015,40162.0
DE20,2016,47819.0
DE20,2017,49754.0
DE20,2018,44526.0
DE20,2019,45000.0
DE20,2020,18370.0
DE20,2021,28142.0
DE20,2022,24101.0
DE20,2023,19698.0
DE30,2008,57062.0
DE30,2009,59611.0
DE30,2010,50499.0
DE30,2011,37851.0
DE30,2012,35614.0
DE30,2013,37949.0
DE30,2014,34661.0
DE30,2015,27778.0
DE30,2016,37275.0
DE30,2017,38743.0
DE30,2018,34564.0
DE30,2019,27387.0
DE30,2020,12780.0
DE30,2021,12531.0
DE30,2022,12761.0
DE30,2023,11320.0
DE40,2008,39267.0
DE40,2009,51562.0
DE40,2010,19277.0
DE40,2011,28135.0
DE40,2012,29887.0
DE40,2013,23723.0
DE40,2014,20666.0
DE40,2015,18050.0
DE40,2016,20233.0
DE40,2017,17219.0
DE40,2018,12860.0
DE40,2019,9495.0
DE40,2020,5662.0
DE40,2021,4749.0
DE40,2022,3037.0
DE40,2023,1357.0
DE50,2008,1674.0
DE50,2009,1819.0
DE50,2010,4832.0
DE50,2011,6373.0
DE50,2012,4048.0
DE50,2013,6837.0
DE50,2014,4208.0
DE50,2015,6058.0
DE50,2016,6335.0
DE50,2017,6211.0
DE50,2018,5817.0
DE50,2019,4488.0
DE50,2020,1827.0
DE50,2021,1292.0
DE50,2022,1777.0
DE50,2023,3952.0
DE60,2008,12047.0
DE60,2009,8562.0
DE60,2010,7718.0
DE60,2011,8447.0
DE60,2012,8405.0
DE60,2013,12455.0
DE60,2014,9818.0
DE60,2015,9770.0
DE60,2016,10249.0
DE60,2017,11850.0
DE60,2018,10153.0
DE60,2019,9051.0
DE60,2020,6460.0
DE60,2021,1449.0
DE60,2022,5407.0
DE60,2023,4138.0
DE70,2008,24925.0
DE70,2009,27099.0
DE70,2010,26141.0
DE70,2011,45896.0
DE70,2012,32576.0
DE70,2013,34791.0
DE70,2014,26785.0
DE70,2015,28403.0
DE70,2016,33408.0
DE70,2017,34953.0
DE70,2018,35091.0
DE70,2019,31752.0
DE70,2020,14385.0
DE70,2021,19957.0
DE70,2022,16800.0
DE70,2023,9103.0
DE80,2008,14305.0
DE80,2009,33682.0
DE80,2010,26026.0
DE80,2011,21221.0
DE80,2012,21342.0
DE80,2013,18514.0
DE80,2014,16384.0
DE80,2015,15189.0
DE80,2016,15367.0
DE80,2017,12165.0
DE80,2018,14578.0
DE80,2019,13341.0
DE80,2020,2214.0
DE80,2021,5485.0
DE80,2022,3584.0
DE80,2023,478.0
DE90,2008,46502.0
DE90,2009,36242.0
DE90,2010,51041.0
DE90,2011,38508.0
DE90,2012,35559.0
DE90,2013,37690.0
DE90,2014,31594.0
DE90,2015,28060.0
DE90,2016,39364.0
DE90,2017,43119.0
DE90,2018,37471.0
DE90,2019,34553.0
DE90,2020,13151.0
DE90,2021,15956.0
DE90,2022,21218.0
DE90,2023,16294.0
DEA0,2008,76413.0
DEA0,2009,79007.0
DEA0,2010,90530.0
DEA0,2011,108007.0
DEA0,2012,95316.0
DEA0,2013,76954.0
DEA0,2014,90233.0
DEA0,2015,82589.0
DEA0,2016,102381.0
DEA0,2017,112999.0
DEA0,2018,94703.0
DEA0,2019,81982.0
DEA0,2020,40591.0
DEA0,2021,43308.0
DEA0,2022,38875.0
DEA0,2023,49060.0
DEB0,2008,19472.0
DEB0,2009,12022.0
DEB0,2010,21471.0
DEB0,2011,27345.0
DEB0,2012,18282.0
DEB0,2013,15798.0
DEB0,2014,19696.0
DEB0,2015,15578.0
DEB0,2016,18610.0
DEB0,2017,19577.0
DEB0,2018,20370.0
DEB0,2019,13003.0
DEB0,2020,7123.0
DEB0,2021,8475.0
DEB0,2022,6095.0
DEB0,2023,5263.0
DEC0,2009,4053.0
DEC0,2010,5224.0
DEC0,2011,4956.0
DEC0,2012,4494.0
DEC0,2013,4274.0
DEC0,2014,3607.0
DEC0,2015,3234.0
DEC0,2016,5995.0
DEC0,2017,4119.0
DEC0,2018,2940.0
DEC0,2019,2343.0
DEC0,2020,1232.0
DEC0,2021,1495.0
DEC0,2022,1192.0
DEC0,2023,960.0
DED0,2008,60703.0
DED0,2009,54538.0
DED0,2010,57519.0
DED0,2011,33701.0
DED0,2012,42111.0
DED0,2013,33884.0
DED0,2014,34681.0
DED0,2015,33390.0
DED0,2016,32722.0
DED0,2017,27789.0
DED0,2018,33496.0
DED0,2019,21824.0
DED0,2020,11976.0
DED0,2021,12615.0
DED0,2022,12386.0
DED0,2023,6737.0
DEE0,2008,45605.0
DEE0,2009,21023.0
DEE0,2010,33940.0
DEE0,2011,22431.0
DEE0,2012,27371.0
DEE0,2013,22006.0
DEE0,2014,16705.0
DEE0,2015,16902.0
DEE0,2016,22387.0
DEE0,2017,18150.0
DEE0,2018,17974.0
DEE0,2019,13653.0
DEE0,2020,10050.0
DEE0,2021,4169.0
DEE0,2022,5216.0
DEE0,2023,4477.0
DEF0,2008,19865.0
DEF0,2009,29838.0
DEF0,2010,13048.0
DEF0,2011,17222.0
DEF0,2012,14345.0
DEF0,2013,12006.0
DEF0,2014,13478.0
DEF0,2015,13403.0
DEF0,2016,13090.0
DEF0,2017,14446.0
DEF0,2018,10561.0
DEF0,2019,11305.0
DEF0,2020,6190.0
DEF0,2021,6871.0
DEF0,2022,7206.0
DEF0,2023,3233.0
DEG0,2008,29536.0
DEG0,2009,28820.0
DEG0,2010,15574.0
DEG0,2011,23165.0
DEG0,2012,21615.0
DEG0,2013,17419.0
DEG0,2014,15966.0
DEG0,2015,15514.0
DEG0,2016,14498.0
DEG0,2017,16272.0
DEG0,2018,11682.0
DEG0,2019,11060.0
DEG0,2020,7041.0
DEG0,2021,4746.0
DEG0,2022,4435.0
DEG0,2023,4118.0
DK01,2008,15968.0
DK01,2009,17912.0
DK01,2010,20292.0
DK01,2011,21369.0
DK01,2012,25527.0
DK01,2013,23135.0
DK01,2014,24078.0
DK01,2015,19041.0
DK01,2016,25308.0
DK01,2017,30034.0
DK01,2018,23958.0
