NUTS2,NUTS3,Year,Turnover_Catering,Turnover_Accomodation
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,2023,78650.0,27664
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,2024,85927.0,34902
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΗΜΝΟΥ,2019,8125,5134
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΗΜΝΟΥ,2020,6294,3474
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΗΜΝΟΥ,2021,7991,
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΗΜΝΟΥ,2022,11883.0,7282
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΗΜΝΟΥ,2023,15263.0,
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΗΜΝΟΥ,2024,19049.0,14614
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΣΑΜΟΥ,2019,23516,45920
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΣΑΜΟΥ,2020,11383,14547
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΣΑΜΟΥ,2021,19905,30240
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΣΑΜΟΥ,2022,34056.0,54689
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΣΑΜΟΥ,2023,41011.0,59493
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΣΑΜΟΥ,2024,47262.0,68562
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΧΙΟΥ,2019,29591,9692
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΧΙΟΥ,2020,25783,5208
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΧΙΟΥ,2021,29012,7363
