Year,NUTS,NUTS_el,GFCF_GHI,GFCF_Total
2013,"NISIA AIGAIOU, KRITI","ΝΗΣΙΑ ΑΙΓΑΙΟΥ, ΚΡΗΤΗ",212.69628862246327,2522.643957487825
2013,Voreio Aigaio,Βόρειο Αιγαίο,23.177049759222065,400.376644877327
2013,Notio Aigaio,Νότιο Αιγαίο,52.82392460345005,657.491690636203
2013,Kriti,Κρήτη,136.6953142597912,1464.775621974295
2013,VOREIA ELLADA,ΒΟΡΕΙΑ ΕΛΛΑΔΑ,387.8113550780866,5691.049057361594
2013,"Anatoliki Makedonia, Thraki","Ανατολική Μακεδονία, Θράκη",32.705807684706286,1139.1685593223935
2013,Kentriki Makedonia,Κεντρική Μακεδονία,314.68070182043164,3169.8593801811285
2013,Dytiki Makedonia,Δυτική Μακεδονία,14.860797676771625,865.3472690032913
2013,Ipeiros,Ήπειρος,25.564047896177012,516.6738488547813
2013,KENTRIKI ELLADA,ΚΕΝΤΡΙΚΗ ΕΛΛΑΔΑ,185.17567485101424,5578.062878908422
2013,Thessalia,Θεσσαλία,36.07250713882698,1533.5240364873277
2013,Ionia Nisia,Ιόνια Νησιά,30.69734625153956,310.0424511669349
2013,Dytiki Ellada,Δυτική Ελλάδα,45.41084429594296,1057.7775513904537
2013,Sterea Ellada,Στερεά Ελλάδα,27.15873168249149,1474.514552564892
2013,Peloponnisos,Πελοπόννησος,45.83624548221325,1202.2042872988131
2014,ELLADA,ΕΛΛΑΔΑ,3268.2948492039786,19779.52577469247
2014,ATTIKI,ATTΙΚΗ,1606.3252041520361,6262.3166734162305
2014,Attiki,Αττική,1606.3252041520361,6262.3166734162305
2014,"NISIA AIGAIOU, KRITI","ΝΗΣΙΑ ΑΙΓΑΙΟΥ, ΚΡΗΤΗ",546.6489075699528,2685.9041344069474
2014,Voreio Aigaio,Βόρειο Αιγαίο,33.47865704844874,432.8409036357849
2014,Notio Aigaio,Νότιο Αιγαίο,224.66432259542094,784.7778438282342
2014,Kriti,Κρήτη,288.5059279260832,1468.2853869429282
2014,VOREIA ELLADA,ΒΟΡΕΙΑ ΕΛΛΑΔΑ,618.0204733854216,5515.154313889647
2014,"Anatoliki Makedonia, Thraki","Ανατολική Μακεδονία, Θράκη",104.98771244748765,1068.785967836957
2014,Kentriki Makedonia,Κεντρική Μακεδονία,432.3233213273297,2854.901535969508
2014,Dytiki Makedonia,Δυτική Μακεδονία,19.73937964927108,987.5595299345262
2014,Ipeiros,Ήπειρος,60.97005996133305,603.9072801486557
2014,KENTRIKI ELLADA,ΚΕΝΤΡΙΚΗ ΕΛΛΑΔΑ,497.3002640965683,5316.1506529796425
2014,Thessalia,Θεσσαλία,123.08556788219173,1226.719054718004
2014,Ionia Nisia,Ιόνια Νησιά,103.66800885946506,354.5663951275631
2014,Dytiki Ellada,Δυτική Ελλάδα,85.04122905958643,1170.1438031876298
2014,Sterea Ellada,Στερεά Ελλάδα,86.93195842464247,1478.8440893886552
2014,Peloponnisos,Πελοπόννησος,98.57349987068258,1085.8773105577898
2015,ELLADA,ΕΛΛΑΔΑ,3687.7451236669444,19572.416288241457
2015,ATTIKI,ATTΙΚΗ,1837.0254846657913,6052.211393294748
2015,Attiki,Αττική,1837.0254846657913,6052.211393294748
2015,"NISIA AIGAIOU, KRITI","ΝΗΣΙΑ ΑΙΓΑΙΟΥ, ΚΡΗΤΗ",607.4548342036699,2725.3846983564404
2015,Voreio Aigaio,Βόρειο Αιγαίο,37.72352499595885,491.48647250195654
2015,Notio Aigaio,Νότιο Αιγαίο,288.08042202752654,819.350693862422
2015,Kriti,Κρήτη,281.6508871801845,1414.5475319920615
2015,VOREIA ELLADA,ΒΟΡΕΙΑ ΕΛΛΑΔΑ,708.4941951173308,5415.834111854928
2015,"Anatoliki Makedonia, Thraki","Ανατολική Μακεδονία, Θράκη",191.95801554078366,1128.3383309819048
2015,Kentriki Makedonia,Κεντρική Μακεδονία,420.8964895942889,2744.537900294865
2015,Dytiki Makedonia,Δυτική Μακεδονία,23.123661177051577,988.0038998864771
2015,Ipeiros,Ήπειρος,72.51602880520662,554.9539806916802
2015,KENTRIKI ELLADA,ΚΕΝΤΡΙΚΗ ΕΛΛΑΔΑ,534.7706096801526,5378.986084735341
2015,Thessalia,Θεσσαλία,146.5421263316212,1342.0006904027648
2015,Ionia Nisia,Ιόνια Νησιά,102.31555316348471,399.58391388401935
2015,Dytiki Ellada,Δυτική Ελλάδα,88.05476301155414,1066.0690853445717
2015,Sterea Ellada,Στερεά Ελλάδα,102.04166656194052,1347.980362849002
2015,Peloponnisos,Πελοπόννησος,95.81650061155182,1223.3520322549837
2016,ELLADA,ΕΛΛΑΔΑ,3873.616982623214,19832.09146848265
2016,ATTIKI,ATTΙΚΗ,2003.066168159159,6679.820242440282
2016,Attiki,Αττική,2003.066168159159,6679.820242440282
2016,"NISIA AIGAIOU, KRITI","ΝΗΣΙΑ ΑΙΓΑΙΟΥ, ΚΡΗΤΗ",524.8652178020444,2493.3355490876006
2016,Voreio Aigaio,Βόρειο Αιγαίο,36.32715264646851,391.56339830793064
2016,Notio Aigaio,Νότιο Αιγαίο,255.0528078614527,738.1572542104245
2016,Kriti,Κρήτη,233.4852572941233,1363.614896569246
2016,VOREIA ELLADA,ΒΟΡΕΙΑ ΕΛΛΑΔΑ,781.9782555032107,5569.103390438291
2016,"Anatoliki Makedonia, Thraki","Ανατολική Μακεδονία, Θράκη",111.0966652429,1080.387319637495
2016,Kentriki Makedonia,Κεντρική Μακεδονία,600.4477231894099,2951.687509704061
2016,Dytiki Makedonia,Δυτική Μακεδονία,26.898443450820135,967.741625351145
2016,Ipeiros,Ήπειρος,43.535423620080564,569.2869357455893
2016,KENTRIKI ELLADA,ΚΕΝΤΡΙΚΗ ΕΛΛΑΔΑ,563.7073411588003,5089.832286516473
2016,Thessalia,Θεσσαλία,171.44251542442316,1204.482946778402
2016,Ionia Nisia,Ιόνια Νησιά,114.37552637220473,395.01232473092574
2016,Dytiki Ellada,Δυτική Ελλάδα,88.42139884714655,983.3713319600944
2016,Sterea Ellada,Στερεά Ελλάδα,106.88377461314558,1408.8860698460385
2016,Peloponnisos,Πελοπόννησος,82.58412590188024,1098.0796132010125
2017,ELLADA,ΕΛΛΑΔΑ,4016.0076251437044,21372.833207686133
2017,ATTIKI,ATTΙΚΗ,2133.462509729638,7041.8418150889975
2017,Attiki,Αττική,2133.462509729638,7041.8418150889975
2017,"NISIA AIGAIOU, KRITI","ΝΗΣΙΑ ΑΙΓΑΙΟΥ, ΚΡΗΤΗ",564.5121964154827,2791.0635504244374
2017,Voreio Aigaio,Βόρειο Αιγαίο,30.49883374140433,471.4471104415507
