NUTS,Year,GVA,Total
Sterea Ellada,2002,1277.533729,7427.443616
Voiotia,2002,207.362774,2279.305704
Evvoia,2002,606.307307,2598.861194
Evrytania,2002,31.966506,168.855796
Fthiotida,2002,354.665029,1992.70346
Fokida,2002,77.232114,387.717461
Peloponnisos,2002,1354.675965,6360.441357
Argolida,2002,294.573363,1200.109765
Arkadia,2002,167.869548,1087.480624
Korinthia,2002,353.897427,1653.46842
Lakonia,2002,217.928888,909.265292
Messinia,2002,320.406738,1510.117256
ELLADA,2003,38629.909239,155704.468835
ATTIKI,2003,16595.653503,72220.518926
Attiki,2003,16595.653503,72220.518926
Voreios Tomeas Athinon,2003,2226.796348,11199.454542
Dytikos Tomeas Athinon,2003,1455.171231,5337.994402
Kentrikos Tomeas Athinon,2003,5455.474288,26631.688974
Notios Tomeas Athinon,2003,2482.036964,8695.624503
Anatoliki Attiki,2003,1560.123092,7457.317439
Dytiki Attiki,2003,683.03257,3915.567253
"Peiraias, Nisoi",2003,2733.01901,8982.871813
"NISIA AIGAIOU, KRITI",2003,5537.437666,14699.97615
Voreio Aigaio,2003,646.846051,2151.590765
"Lesvos, Limnos",2003,316.266817,1154.375142
"Ikaria, Samos",2003,170.250989,434.369514
Chios,2003,160.328245,562.846109
Notio Aigaio,2003,2303.852872,4906.12269
"Kalymnos, Karpathos, Kos, Rodos",2003,1299.296625,2786.737204
"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos",2003,1004.556247,2119.385486
Kriti,2003,2586.738743,7642.262696
Irakleio,2003,1304.864959,3731.562273
Lasithi,2003,271.808704,917.851969
Rethymni,2003,381.555165,1060.707681
Chania,2003,628.509915,1932.140772
VOREIA ELLADA,2003,8437.260482,34666.991461
"Anatoliki Makedonia, Thraki",2003,1446.687914,6135.36852
Evros,2003,329.182734,1411.419659
Xanthi,2003,203.773317,1072.623836
Rodopi,2003,189.365114,1203.928521
Drama,2003,210.765959,926.287832
"Thasos, Kavala",2003,513.600789,1521.108673
Kentriki Makedonia,2003,5609.780504,21262.78797
Imathia,2003,382.591033,1482.713183
Thessaloniki,2003,3667.603983,13798.018595
Kilkis,2003,133.92644,799.070592
Pella,2003,304.346561,1298.205967
Pieria,2003,378.376688,1181.038965
Serres,2003,325.730088,1499.373939
Chalkidiki,2003,417.205711,1204.36673
Dytiki Makedonia,2003,506.690862,3647.412041
Grevena,2003,41.945646,266.801108
