geo,year,greek_tourism_Stays__Hotel_Stays_Natives,greek_tourism_Stays__Hotel_Stays_Foreign,greek_tourism_Stays__Hotel_Stays_Total,greek_tourism_Stays__Hotel_Beds,greek_tourism_Stays__Hotel_Occupancy,greek_tourism_Stays__Hotel_Stays_Natives_pct_diff,greek_tourism_Stays__Hotel_Stays_Foreign_pct_diff,greek_tourism_Stays__Hotel_Stays_Total_pct_diff,greek_tourism_Stays__Hotel_Occupancy_pct_diff,_row_order_,__conflict_file
EL422,2019,138808,89055,227863,2531,35.0,3.4768606870229006,7.507605388961321,5.015669646972071,3.2448377581120984,776,greek_tourism_Stays
EL422,2019,114766,24041,138807,2348,24.1,-3.7157598892571,-19.871346198713464,-6.964570570651081,-5.859375,785,greek_tourism_Stays
EL422,2020,23256,8692,31948,958,19.9,-60.96742250046155,-77.35396800583607,-67.38768718801997,-23.461538461538467,210,greek_tourism_Stays
EL422,2020,77949,429326,507275,13020,29.5,-58.230493470584136,-77.27809911822347,-75.56594149216463,-40.76305220883534,399,greek_tourism_Stays
EL422,2020,37625,44829,82454,2399,22.8,-6.609908657664813,-61.17928245451475,-47.06513016402914,-9.523809523809518,624,greek_tourism_Stays
EL422,2020,61403,354393,415796,8012,40.8,-43.35777870024445,-81.94734163751644,-79.92789807638093,-38.27534039334341,633,greek_tourism_Stays
EL422,2020,79171,92373,171544,5279,21.9,-33.94324714441858,-80.89833039004438,-71.57227159663198,-42.81984334203655,642,greek_tourism_Stays
EL422,2020,61813,98309,160122,5681,22.5,-52.137486739916525,-79.71776647651664,-73.91521083257854,-43.609022556390975,678,greek_tourism_Stays
EL422,2020,81469,18962,100431,1791,30.2,-41.30813785948937,-78.70754028409411,-55.9248320262614,-13.714285714285715,777,greek_tourism_Stays
EL422,2020,64183,18912,83095,2145,25.6,-44.07490023177596,-21.33438708872343,-40.13630436505364,6.224066390041493,786,greek_tourism_Stays
EL422,2021,35147,20476,55623,1067,29.6,51.13089095287238,135.57294063506674,74.10479529235006,48.74371859296484,211,greek_tourism_Stays
EL422,2021,112964,955672,1068636,12935,48.5,44.92039666961731,122.59821208126225,110.66206692622345,64.40677966101694,400,greek_tourism_Stays
EL422,2021,33908,79556,113464,1960,31.3,-9.87906976744186,77.4654799348636,37.60884857011182,37.280701754385966,625,greek_tourism_Stays
EL422,2021,90449,929803,1020252,10699,55.3,47.30387766070061,162.36494513153477,145.37321186351,35.53921568627451,634,greek_tourism_Stays
EL422,2021,63437,189266,252703,4259,37.8,-19.87343850652385,104.89320472432422,47.31089399804132,72.6027397260274,643,greek_tourism_Stays
EL422,2021,88492,266367,354859,5110,46.2,43.16082377493407,170.94874324832924,121.61789135783964,105.33333333333334,679,greek_tourism_Stays
EL422,2021,102924,63302,166226,1933,44.4,26.33517043292541,233.8360932391098,65.51264051936155,47.01986754966888,778,greek_tourism_Stays
EL422,2021,58947,17094,76041,1538,27.5,-8.157923437670412,-9.612944162436548,-8.489078765268667,7.421874999999995,787,greek_tourism_Stays
EL422,2022,51548,34787,86335,1331,37.9,46.66401115315674,69.89158038679429,55.21456951261169,28.040540540540533,212,greek_tourism_Stays
EL422,2022,172191,1817144,1989335,20278,51.2,52.42997769200808,90.14306163620992,86.15646487672134,5.5670103092783565,401,greek_tourism_Stays
EL422,2022,43814,107353,151167,3044,29.8,29.21434469741654,34.940167932022725,33.22904181061835,-4.792332268370607,626,greek_tourism_Stays
EL422,2022,122513,1914844,2037357,16958,63.3,35.44981149598116,105.94082832600024,99.6915467943214,14.466546112115733,635,greek_tourism_Stays
EL422,2022,116376,440153,556529,7945,41.9,83.45129813831045,132.55788150011097,120.23046817805884,10.846560846560852,644,greek_tourism_Stays
EL422,2022,131987,450382,582369,7626,48.2,49.15133571396285,69.08325731040257,64.1127884596417,4.329004329004329,680,greek_tourism_Stays
