geo,nuts_label,nuts_level,year,Hotel_Arrivals_Natives,Hotel_Arrivals_Foreign,Hotel_Arrivals_Total,Hotel_Beds,Hotel_Arrivals_Natives_pct_diff,Hotel_Arrivals_Foreign_pct_diff,Hotel_Arrivals_Total_pct_diff,Hotel_Beds_pct_diff
EL411,Λέσβος,3,2018,48811,72297,121108,7313,3.853191489361702,10.324884405853718,7.621899743181879,0.4257072232903049
EL411,Λήμνος,3,2018,17695,15348,33043,1895,34.60368172828237,2.49766261519968,17.507112375533428,5.45353366722315
EL411,Λέσβος,3,2019,50514,68706,119220,7394,3.4889676507344656,-4.9670110792978965,-1.5589391287115633,1.1076165732257623
EL411,Λήμνος,3,2019,16867,17256,34123,1941,-4.679287934444758,12.43158717748241,3.2684683594104653,2.4274406332453826
EL411,Λέσβος,3,2020,20846,7502,28348,3900,-58.73223264837471,-89.08101184758245,-76.22211038416373,-47.254530700568026
EL411,Λήμνος,3,2020,9929,3177,13106,1568,-41.13357443528784,-81.58901251738526,-61.59188816926999,-19.21689850592478
EL411,Λέσβος,3,2021,32450,20155,52605,5187,55.665355463877965,168.66169021594243,85.56864681811767,33.0
EL411,Λήμνος,3,2021,9485,6295,15780,1570,-4.471749420888306,98.14290210890778,20.402868915000763,0.1275510204081632
EL411,Λέσβος,3,2022,51962,54494,106456,7041,60.12942989214176,170.37459687422475,102.36859614105124,35.743204164256795
EL411,Λήμνος,3,2022,13908,14948,28856,2161,46.63152345809172,137.45830023828435,82.86438529784537,37.64331210191083
EL411,Λέσβος,3,2023,60999,70155,131154,7063,17.391555367383855,28.738943736925165,23.200195385887127,0.3124556170998437
EL411,Λήμνος,3,2023,15029,15888,30917,2504,8.060109289617486,6.288466684506289,7.142362073745495,15.872281351226285
EL412,Ικαρία,3,2015,6463,3447,9910,1049,,,,
EL412,Σάμος,3,2015,19713,104817,124530,9751,,,,
EL412,Ικαρία,3,2016,6732,2050,8782,1037,4.162153798545567,-40.52799535828257,-11.382441977800202,-1.1439466158245948
EL412,Σάμος,3,2016,20196,89177,109373,9454,2.45015979302998,-14.921243691385936,-12.171364329880353,-3.045841452158753
EL412,Ικαρία,3,2017,7670,2376,10046,1037,13.933452168746284,15.902439024390244,14.39307674789342,0.0
EL412,Σάμος,3,2017,22687,111122,133809,10417,12.334125569419689,24.608363142962872,22.3418942517806,10.186164586418448
EL412,Ικαρία,3,2018,7576,2359,9935,942,-1.225554106910039,-0.7154882154882155,-1.1049173800517618,-9.161041465766631
EL412,Σάμος,3,2018,28493,141223,169716,11648,25.591748578481067,27.088245351955507,26.83451785754321,11.817221848900836
EL412,Ικαρία,3,2019,8328,3872,12200,1022,9.926082365364309,64.13734633319204,22.79818822345244,8.492569002123142
EL412,Σάμος,3,2019,32223,143498,175721,13387,13.0909346155196,1.610927398511574,3.5382639232600344,14.929601648351648
EL412,Ικαρία,3,2020,3682,797,4479,867,-55.78770413064361,-79.4163223140496,-63.28688524590164,-15.16634050880626
EL412,Σάμος,3,2020,15177,14031,29208,5206,-52.9001024113211,-90.22216337509931,-83.37819611770932,-61.111526107417646
EL412,Ικαρία,3,2021,5539,2896,8435,793,50.43454644215101,263.3626097867001,88.32328644786783,-8.535178777393309
EL412,Σάμος,3,2021,25374,58881,84255,7594,67.18719114449496,319.6493478725679,188.46548890714877,45.87014982712255
EL412,Ικαρία,3,2022,8348,3332,11680,1096,50.71312511283625,15.05524861878453,38.47065797273267,38.20933165195461
EL412,Σάμος,3,2022,31175,122925,154100,10723,22.861984708757,108.76853314311916,82.89715743872767,41.2035817750856
EL412,Ικαρία,3,2023,8935,4463,13398,949,7.031624341159559,33.94357743097239,14.70890410958904,-13.412408759124087
EL412,Σάμος,3,2023,33858,141210,175068,10688,8.60625501202887,14.874923733984136,13.606748864373785,-0.326401193695794
EL421,Κάλυμνος,3,2015,13222,17624,30846,3279,,,,
EL421,Κάρπαθος – Ηρωική Νήσος Κάσος,3,2015,4029,35013,39042,4173,,,,
EL421,Κως,3,2015,37901,773828,811729,50426,,,,
EL421,Ρόδος,3,2015,94265,1515480,1609745,87051,,,,
EL421,Κάλυμνος,3,2016,19218,17481,36699,3403,45.34866132203902,-0.8113935542442126,18.974907605524216,3.7816407441293074
EL421,Κάρπαθος – Ηρωική Νήσος Κάσος,3,2016,4290,38164,42288,4287,6.4780342516753535,8.999514466055466,8.314123251882588,2.731847591660676
EL421,Κως,3,2016,36548,622180,658747,47372,-3.5698266536503,-19.597119773386336,-18.84643766577269,-6.056399476460556
EL421,Ρόδος,3,2016,107901,1694077,1802002,89323,14.465602291412509,11.78484704516061,11.943320215313609,2.6099642738164985
EL421,Κάλυμνος,3,2017,20099,17427,37526,3382,4.584243937974816,-0.3089068131113781,2.2534673969317964,-0.6171025565677344
EL421,Κάρπαθος – Ηρωική Νήσος Κάσος,3,2017,3978,44354,48332,4579,-7.272727272727272,16.219473849701288,14.292470677260688,6.8112899463494285
EL421,Κως,3,2017,39489,827473,866962,49729,8.046951953595272,32.99575685492944,31.607734076967333,4.975512961242928
EL421,Ρόδος,3,2017,114716,1754993,1869709,91321,6.315974828778232,3.5958223858773835,3.757321024061016,2.2368259015035323
EL421,Κάλυμνος,3,2018,34401,48468,82869,5574,71.15776904323599,178.12015837493544,120.83089058252943,64.81371969248964
EL421,Κάρπαθος – Ηρωική Νήσος Κάσος,3,2018,9504,78955,88459,6040,138.91402714932127,78.01100238986336,83.02366961847223,31.906529810002183
EL421,Κως,3,2018,74209,1154572,1228781,61911,87.9232191243131,39.52986985678083,41.73412444836106,24.496772506987877
