geo,year,greek_tourism_Arrivals__Hotel_Arrivals_Natives,greek_tourism_Arrivals__Hotel_Arrivals_Foreign,greek_tourism_Arrivals__Hotel_Arrivals_Total,greek_tourism_Arrivals__Hotel_Beds,greek_tourism_Arrivals__Hotel_Arrivals_Natives_pct_diff,greek_tourism_Arrivals__Hotel_Arrivals_Foreign_pct_diff,greek_tourism_Arrivals__Hotel_Arrivals_Total_pct_diff,greek_tourism_Arrivals__Hotel_Beds_pct_diff,_row_order_,__conflict_file
EL422,2022,35886,102140,138026,7945,69.77008231620778,99.12660350138418,90.55942125027612,86.54613759098379,574,greek_tourism_Arrivals
EL422,2022,37166,111020,148186,7626,43.51469282156234,66.21751107917116,59.874418755192096,49.23679060665362,610,greek_tourism_Arrivals
EL422,2022,36926,21204,58130,2512,17.058170867015374,30.76780758556892,21.712730318257957,29.953440248318675,709,greek_tourism_Arrivals
EL422,2022,47397,8199,55596,2336,130.74339126624798,59.45157526254376,116.47003854689872,51.88556566970091,718,greek_tourism_Arrivals
EL422,2023,19218,10129,29347,1384,9.729359369647138,11.947391688771,10.484903245237556,3.9819684447783614,143,greek_tourism_Arrivals
EL422,2023,77374,719794,797168,20458,21.294873804671575,18.24694728783794,18.53605368536723,0.8876615050793963,332,greek_tourism_Arrivals
EL422,2023,20356,44598,64954,2947,19.776404824948514,22.660139167743885,21.741575139633397,-3.1865965834428382,557,greek_tourism_Arrivals
EL422,2023,52668,598731,651399,17298,9.28784860557769,10.740761291754522,10.621854048215852,2.0049534143177263,566,greek_tourism_Arrivals
EL422,2023,42272,116446,158718,7725,17.79524048375411,14.00626590953593,14.991378435946851,-2.7690371302706107,575,greek_tourism_Arrivals
EL422,2023,41245,143927,185172,7690,10.975084754883497,29.640605296343004,24.959172931316047,0.8392341987936008,611,greek_tourism_Arrivals
EL422,2023,41129,27196,68325,2279,11.382223907274009,28.2588190907376,17.53827627730948,-9.275477707006369,710,greek_tourism_Arrivals
EL422,2023,51654,11802,63456,2193,8.981581112728653,43.94438346139773,14.137707748758904,-6.1215753424657535,719,greek_tourism_Arrivals
EL651,2015,174674,143195,317869,9750,,,,,144,greek_tourism_Arrivals
EL651,2015,45326,5758,51084,3154,,,,,153,greek_tourism_Arrivals
EL651,2016,176620,135166,311786,9873,1.114075363248108,-5.607039351932679,-1.913681422221104,1.2615384615384615,145,greek_tourism_Arrivals
EL651,2016,46567,4260,50827,2967,2.73794290252835,-26.015977770059045,-0.5030929449534101,-5.928979074191503,154,greek_tourism_Arrivals
EL651,2017,192173,156481,348654,10644,8.805910995357264,15.769498246600476,11.824777251063228,7.809176542084472,146,greek_tourism_Arrivals
