geo,nuts_label,nuts_level,year,GVA_GHI,GVA_total,GVA_GHI_pct,GVA_GHI_pct_diff
EL531,Grevena,3,2015,48.290592,275.962847,17.49894687816436,-1.799835052587906
EL531,Kozani,3,2015,202.955968,2582.166238,7.859910993073718,-1.504163604019099
EL531,Grevena,3,2016,47.226141,268.823818,17.567692234770654,-2.204261649971072
EL531,Kozani,3,2016,200.529288,2288.786091,8.76138179922206,-1.1956682150879172
EL531,Grevena,3,2017,49.059145,266.278088,18.424026313423127,3.8813334335320815
EL531,Kozani,3,2017,205.887663,2274.66775,9.051329056738066,2.672115905582827
EL531,Grevena,3,2018,50.593412,266.955369,18.9520114128141,3.1273822648152545
EL531,Kozani,3,2018,209.049534,2235.766617,9.350239529048302,1.5357263052716232
EL531,Grevena,3,2019,50.618987,274.534746,18.4380985421787,0.0505500597587613
EL531,Kozani,3,2019,203.975918,2069.001331,9.858665383333191,-2.426992255337908
EL531,Grevena,3,2020,39.250335,276.76293,14.181933613724931,-22.459264149241072
EL531,Kozani,3,2020,163.957114,1745.769466,9.391681845350822,-19.619376832514128
EL531,Grevena,3,2021,46.886342,289.73568,16.18245360737069,19.45462885858172
EL531,Kozani,3,2021,195.30252,1878.037247,10.399288955103456,19.11805180957259
EL531,Grevena,3,2022,59.221359,316.970889,18.68353248048593,26.30833729788517
EL531,Kozani,3,2022,243.843922,2163.210425,11.272316330483658,24.854467827655277
EL541,Arta,3,2000,107.972217,511.332772,21.11584136836823,
EL541,Preveza,3,2000,147.591697,510.432093,28.915050410045435,
EL541,Arta,3,2001,109.054534,554.133404,19.680194915663304,1.0024032386035042
EL541,Preveza,3,2001,151.395171,535.505809,28.271433933221815,2.577024370144612
EL541,Arta,3,2002,113.446496,614.711391,18.455245447045893,4.027308025542516
EL541,Preveza,3,2002,142.152049,544.730588,26.095844832565195,-6.105295128600898
EL541,Arta,3,2003,130.403408,663.902569,19.641949600589665,14.947056628351058
EL541,Preveza,3,2003,156.515037,599.773977,26.09566986931813,10.10396128725517
EL541,Arta,3,2004,135.863627,666.23176,20.392847528013377,4.18717507751024
EL541,Preveza,3,2004,153.345446,599.952709,25.55958889753092,-2.0251031854530352
EL541,Arta,3,2005,143.439748,696.896425,20.58264942311908,5.5762687683878776
EL541,Preveza,3,2005,165.517774,590.321739,28.03856999750436,7.937847727150628
EL541,Arta,3,2006,145.595394,750.884463,19.38985305652809,1.5028233317866606
EL541,Preveza,3,2006,158.88399,642.172011,24.741656017144606,-4.007898269584022
EL541,Arta,3,2007,168.870239,763.947302,22.10495914546734,15.985976177240882
EL541,Preveza,3,2007,181.476539,682.468845,26.59118292791813,14.2195252020043
EL541,Arta,3,2008,173.937911,767.219452,22.67120711637014,3.000926646405715
EL541,Preveza,3,2008,206.002275,696.990868,29.55595036576577,13.514549117558383
EL541,Arta,3,2009,164.170756,777.826479,21.10634703656058,-5.615311201478096
EL541,Preveza,3,2009,195.700441,710.526354,27.543023548427037,-5.000835063593343
EL541,Arta,3,2010,166.043992,771.662725,21.517689868977406,1.1410290393010014
EL541,Preveza,3,2010,192.396116,681.818695,28.218075774528295,-1.6884606815985692
