Country_code,NUTS_name,year,age,skill_level,persons_per_skill_level,geo,nuts_level,nuts_label
AT,Ostösterreich,2018,30-64,1-3,674457.0,AT1,1,
AT,Ostösterreich,2018,30-64,4-5,360372.0,AT1,1,
AT,Ostösterreich,2018,30-64,6-8,245773.0,AT1,1,
AT,Ostösterreich,2018,30-64,9,116056.0,AT1,1,
AT,Ostösterreich,2018,30-64,10,3570.0,AT1,1,
AT,Ostösterreich,2019,15-29,1-3,153434.0,AT1,1,
AT,Ostösterreich,2019,15-29,4-5,133430.0,AT1,1,
AT,Ostösterreich,2019,15-29,6-8,71087.0,AT1,1,
AT,Ostösterreich,2019,15-29,9,25919.0,AT1,1,
AT,Ostösterreich,2019,15-29,10,0.0,AT1,1,
AT,Ostösterreich,2019,15-64,1-3,827269.0,AT1,1,
AT,Ostösterreich,2019,15-64,4-5,499286.0,AT1,1,
AT,Ostösterreich,2019,15-64,6-8,330708.0,AT1,1,
AT,Ostösterreich,2019,15-64,9,141300.0,AT1,1,
AT,Ostösterreich,2019,15-64,10,4268.0,AT1,1,
AT,Ostösterreich,2019,30-64,1-3,673835.0,AT1,1,
AT,Ostösterreich,2019,30-64,4-5,365856.0,AT1,1,
AT,Ostösterreich,2019,30-64,6-8,259622.0,AT1,1,
AT,Ostösterreich,2019,30-64,9,114343.0,AT1,1,
AT,Ostösterreich,2019,30-64,10,0.0,AT1,1,
AT,Ostösterreich,2020,15-29,1-3,151154.0,AT1,1,
AT,Ostösterreich,2020,15-29,4-5,128441.0,AT1,1,
AT,Ostösterreich,2020,15-29,6-8,68942.0,AT1,1,
AT,Ostösterreich,2020,15-29,9,24515.0,AT1,1,
AT,Ostösterreich,2020,15-29,10,0.0,AT1,1,
AT,Ostösterreich,2020,15-64,1-3,856275.0,AT1,1,
AT,Ostösterreich,2020,15-64,4-5,471641.0,AT1,1,
AT,Ostösterreich,2020,15-64,6-8,318759.0,AT1,1,
AT,Ostösterreich,2020,15-64,9,134012.0,AT1,1,
AT,Ostösterreich,2020,15-64,10,0.0,AT1,1,
AT,Ostösterreich,2020,30-64,1-3,705123.0,AT1,1,
AT,Ostösterreich,2020,30-64,4-5,343200.0,AT1,1,
AT,Ostösterreich,2020,30-64,6-8,249817.0,AT1,1,
AT,Ostösterreich,2020,30-64,9,108603.0,AT1,1,
AT,Ostösterreich,2020,30-64,10,0.0,AT1,1,
AT,Ostösterreich,2021,15-29,1-3,164035.0,AT1,1,
AT,Ostösterreich,2021,15-29,4-5,125970.0,AT1,1,
AT,Ostösterreich,2021,15-29,6-8,67354.0,AT1,1,
AT,Ostösterreich,2021,15-29,9,23817.0,AT1,1,
AT,Ostösterreich,2021,15-29,10,0.0,AT1,1,
AT,Ostösterreich,2021,15-64,1-3,870015.0,AT1,1,
AT,Ostösterreich,2021,15-64,4-5,474740.0,AT1,1,
AT,Ostösterreich,2021,15-64,6-8,316275.0,AT1,1,
AT,Ostösterreich,2021,15-64,9,133926.0,AT1,1,
AT,Ostösterreich,2021,15-64,10,3513.0,AT1,1,
AT,Ostösterreich,2021,30-64,1-3,705980.0,AT1,1,
AT,Ostösterreich,2021,30-64,4-5,348770.0,AT1,1,
AT,Ostösterreich,2021,30-64,6-8,248922.0,AT1,1,
AT,Ostösterreich,2021,30-64,9,108862.0,AT1,1,
AT,Ostösterreich,2021,30-64,10,0.0,AT1,1,
