geo,nuts_label,year,nuts_level,Hotel_Stays_Natives,Hotel_Stays_Foreign,Hotel_Stays_Total,Hotel_Beds,Hotel_Occupancy,Hotel_Stays_Natives_pct_diff,Hotel_Stays_Foreign_pct_diff,Hotel_Stays_Total_pct_diff,Hotel_Occupancy_pct_diff
EL421,Ρόδος,2023,3,492737,13388546,13881283,103754,57.2,10.144762313514576,-1.2586792463544898,-0.8944661457729078,-0.694444444444442
EL421,Κάλυμνος,2024,3,84097,281906,366003,5214,32.3,,,,
EL421,Κάρπαθος – Ηρωική Νήσος Κάσος,2024,3,46924,556624,603548,6455,47.6,,,,
EL421,Κως,2024,3,253012,8478223,8731235,59073,57.2,,,,
EL421,Ρόδος,2024,3,532910,15924861,16457771,103556,56.9,,,,
EL422,Άνδρος,2015,3,38081,21425,59506,1361,19.5,,,,
EL422,Θήρα,2015,3,54971,703678,758649,8851,53.9,,,,
EL422,Μήλος,2015,3,39639,43339,82978,1775,26.4,,,,
EL422,Μύκονος,2015,3,83100,777195,860295,8911,53.3,,,,
EL422,Νάξος,2015,3,39924,129346,169270,2761,38.9,,,,
EL422,Πάρος,2015,3,59340,255134,314474,5908,33.6,,,,
EL422,Σύρος,2015,3,74876,17110,91986,1378,32.0,,,,
EL422,Τήνος,2015,3,104502,7886,112388,1638,32.0,,,,
EL422,Άνδρος,2016,3,56566,17247,73813,1321,23.2,48.54126729865288,-19.50058343057176,24.0429536517326,18.97435897435897
EL422,Θήρα,2016,3,66676,618298,684974,8964,47.0,21.29304542395081,-12.133390556476115,-9.711342135823022,-12.801484230055657
EL422,Μήλος,2016,3,45245,49638,94883,1813,29.4,14.142637301647367,14.53425321304137,14.347176359999036,11.363636363636363
EL422,Μύκονος,2016,3,94639,925809,1020448,10344,53.8,13.885679903730445,19.12184200876228,18.616056120284323,0.9380863039399624
EL422,Νάξος,2016,3,65520,99110,164630,2731,37.7,64.11181244364292,-23.376061107417318,-2.74118272582265,-3.084832904884308
EL422,Πάρος,2016,3,81383,227995,309378,5801,32.9,37.14694978092349,-10.637155377174349,-1.6204837283845406,-2.083333333333341
EL422,Σύρος,2016,3,85717,13546,99263,1465,32.7,14.478604626315509,-20.829924021040327,7.910986454460462,2.187500000000009
EL422,Τήνος,2016,3,76654,10505,87159,1563,25.1,-26.64829381255861,33.210753233578494,-22.448126134462758,-21.5625
EL422,Άνδρος,2017,3,60402,26024,86426,1348,26.1,6.781458826857123,50.89000985678669,17.08777586603986,12.500000000000009
EL422,Θήρα,2017,3,58322,664567,722889,9247,46.6,-12.52924590557322,7.483284759129092,5.535246593301352,-0.8510638297872309
EL422,Μήλος,2017,3,28306,45895,74201,1801,21.8,-37.438390982429,-7.540593899834803,-21.797371499636395,-25.850340136054417
EL422,Μύκονος,2017,3,85894,1168160,1254054,11264,59.7,-9.24037658893268,26.1772136585408,22.892494277023427,10.96654275092938
EL422,Νάξος,2017,3,59044,126143,185187,2885,38.5,-9.884004884004884,27.27575421249117,12.48678855615623,2.122015915119356
EL422,Πάρος,2017,3,81840,287024,368864,5981,37.7,0.5615423368516766,25.890480054387154,19.227611530231627,14.589665653495452
EL422,Σύρος,2017,3,88315,18884,107199,1351,34.1,3.030904021372657,39.40646685368375,7.994922579410253,4.281345565749231
EL422,Τήνος,2017,3,86115,14115,100230,1511,28.0,12.342473973960916,34.36458829128986,14.996730113929717,11.553784860557762
EL422,Άνδρος,2018,3,56389,35581,91970,1452,24.6,-6.643819741068177,36.72379342145712,6.414736306204151,-5.747126436781609
EL422,Θήρα,2018,3,193724,1670166,1863890,17748,48.9,232.1628202050684,151.31642106815414,157.83903199523024,4.93562231759656
EL422,Μήλος,2018,3,59679,119414,179093,2778,28.7,110.83515862361337,160.18956313323892,141.3619762536893,31.651376146788984
EL422,Μύκονος,2018,3,112705,1579038,1691743,13739,58.3,31.21405453233055,35.1730927270237,34.90192607335888,-2.345058626465671
EL422,Νάξος,2018,3,122524,434553,557077,6916,36.8,107.5130411218752,244.4923618433048,200.81863197740665,-4.415584415584424
EL422,Πάρος,2018,3,115434,450363,565797,7575,38.2,41.04838709677419,56.90778471486705,53.3890539602672,1.326259946949602
EL422,Σύρος,2018,3,134144,82836,216980,2459,33.9,51.89265696654023,338.65706418131754,102.40860455787836,-0.5865102639296271
EL422,Τήνος,2018,3,119195,30003,149198,2340,25.6,38.41374905649423,112.56110520722636,48.85563204629352,-8.571428571428566
EL422,Άνδρος,2019,3,59581,38382,97963,1439,26.0,5.660678501126106,7.872178971923217,6.516255300641513,5.6910569105691
EL422,Θήρα,2019,3,186617,1889481,2076098,18836,49.8,-3.6686213375730414,13.13132946066439,11.385221230866629,1.8404907975460087
EL422,Μήλος,2019,3,40288,115477,155765,2762,25.2,-32.492166423700134,-3.2969333578977342,-13.025634726092033,-12.195121951219512
EL422,Μύκονος,2019,3,108405,1963107,2071512,18272,66.1,-3.8152699525309433,24.32297386130036,22.44838607282548,13.37907375643224
EL422,Νάξος,2019,3,119853,483586,603439,7357,38.3,-2.179981064934217,11.283548842143537,8.322368362003816,4.076086956521739
EL422,Πάρος,2019,3,129147,484705,613852,7943,39.9,11.87951556733718,7.625404396009442,8.493328879439092,4.450261780104701
EL422,Σύρος,2019,3,138808,89055,227863,2531,35.0,3.4768606870229006,7.507605388961321,5.015669646972071,3.2448377581120984
EL422,Τήνος,2019,3,114766,24041,138807,2348,24.1,-3.7157598892571,-19.871346198713464,-6.964570570651081,-5.859375
EL422,Άνδρος,2020,3,23256,8692,31948,958,19.9,-60.96742250046155,-77.35396800583607,-67.38768718801997,-23.461538461538467
EL422,Θήρα,2020,3,77949,429326,507275,13020,29.5,-58.230493470584136,-77.27809911822347,-75.56594149216463,-40.76305220883534
EL422,Μήλος,2020,3,37625,44829,82454,2399,22.8,-6.609908657664813,-61.17928245451475,-47.06513016402914,-9.523809523809518
EL422,Μύκονος,2020,3,61403,354393,415796,8012,40.8,-43.35777870024445,-81.94734163751644,-79.92789807638093,-38.27534039334341
EL422,Νάξος,2020,3,79171,92373,171544,5279,21.9,-33.94324714441858,-80.89833039004438,-71.57227159663198,-42.81984334203655
EL422,Πάρος,2020,3,61813,98309,160122,5681,22.5,-52.137486739916525,-79.71776647651664,-73.91521083257854,-43.609022556390975
EL422,Σύρος,2020,3,81469,18962,100431,1791,30.2,-41.30813785948937,-78.70754028409411,-55.9248320262614,-13.714285714285715
EL422,Τήνος,2020,3,64183,18912,83095,2145,25.6,-44.07490023177596,-21.33438708872343,-40.13630436505364,6.224066390041493
EL422,Άνδρος,2021,3,35147,20476,55623,1067,29.6,51.13089095287238,135.57294063506674,74.10479529235006,48.74371859296484
EL422,Θήρα,2021,3,112964,955672,1068636,12935,48.5,44.92039666961731,122.59821208126225,110.66206692622345,64.40677966101694
EL422,Μήλος,2021,3,33908,79556,113464,1960,31.3,-9.87906976744186,77.4654799348636,37.60884857011182,37.280701754385966
EL422,Μύκονος,2021,3,90449,929803,1020252,10699,55.3,47.30387766070061,162.36494513153477,145.37321186351,35.53921568627451
EL422,Νάξος,2021,3,63437,189266,252703,4259,37.8,-19.87343850652385,104.89320472432422,47.31089399804132,72.6027397260274
EL422,Πάρος,2021,3,88492,266367,354859,5110,46.2,43.16082377493407,170.94874324832924,121.61789135783964,105.33333333333334
EL422,Σύρος,2021,3,102924,63302,166226,1933,44.4,26.33517043292541,233.8360932391098,65.51264051936155,47.01986754966888
EL422,Τήνος,2021,3,58947,17094,76041,1538,27.5,-8.157923437670412,-9.612944162436548,-8.489078765268667,7.421874999999995
EL422,Άνδρος,2022,3,51548,34787,86335,1331,37.9,46.66401115315674,69.89158038679429,55.21456951261169,28.040540540540533
EL422,Θήρα,2022,3,172191,1817144,1989335,20278,51.2,52.42997769200808,90.14306163620992,86.15646487672134,5.5670103092783565
EL422,Μήλος,2022,3,43814,107353,151167,3044,29.8,29.21434469741654,34.940167932022725,33.22904181061835,-4.792332268370607
EL422,Μύκονος,2022,3,122513,1914844,2037357,16958,63.3,35.44981149598116,105.94082832600024,99.6915467943214,14.466546112115733
EL422,Νάξος,2022,3,116376,440153,556529,7945,41.9,83.45129813831045,132.55788150011097,120.23046817805884,10.846560846560852
