geo,year,Hotel_Stays_Total
EL422,2016,94883.0
EL422,2016,1020448.0
EL422,2016,164630.0
EL422,2016,309378.0
EL422,2016,99263.0
EL422,2016,87159.0
EL422,2017,86426.0
EL422,2017,722889.0
EL422,2017,74201.0
EL422,2017,1254054.0
EL422,2017,185187.0
EL422,2017,368864.0
EL422,2017,107199.0
EL422,2017,100230.0
EL422,2018,91970.0
EL422,2018,1863890.0
EL422,2018,179093.0
EL422,2018,1691743.0
EL422,2018,557077.0
EL422,2018,565797.0
EL422,2018,216980.0
EL422,2018,149198.0
EL422,2019,97963.0
EL422,2019,2076098.0
EL422,2019,155765.0
EL422,2019,2071512.0
EL422,2019,603439.0
EL422,2019,613852.0
EL422,2019,227863.0
EL422,2019,138807.0
EL422,2020,31948.0
EL422,2020,507275.0
EL422,2020,82454.0
EL422,2020,415796.0
EL422,2020,171544.0
EL422,2020,160122.0
EL422,2020,100431.0
EL422,2020,83095.0
EL422,2021,55623.0
EL422,2021,1068636.0
EL422,2021,113464.0
EL422,2021,1020252.0
EL422,2021,252703.0
EL422,2021,354859.0
EL422,2021,166226.0
EL422,2021,76041.0
EL422,2022,86335.0
EL422,2022,1989335.0
EL422,2022,151167.0
EL422,2022,2037357.0
EL422,2022,556529.0
EL422,2022,582369.0
EL422,2022,185367.0
EL422,2022,131398.0
EL422,2023,93250.0
EL422,2023,2364554.0
EL422,2023,188930.0
EL422,2023,2182081.0
EL422,2023,643088.0
EL422,2023,700831.0
EL422,2023,210758.0
EL422,2023,152256.0
EL422,2024,106707.0
EL422,2024,2347427.0
EL422,2024,217011.0
EL422,2024,1912193.0
EL422,2024,618942.0
EL422,2024,665592.0
EL422,2024,233454.0
EL422,2024,134900.0
EL515,2015,771580.0
EL515,2015,328508.0
EL515,2016,747891.0
EL515,2016,322994.0
EL515,2017,803244.0
EL515,2017,339254.0
EL515,2018,1010819.0
EL515,2018,373479.0
EL515,2019,1013073.0
EL515,2019,379327.0
EL515,2020,297552.0
EL515,2020,103087.0
EL515,2021,641344.0
EL515,2021,183884.0
EL515,2022,983383.0
EL515,2022,337745.0
EL515,2023,1113264.0
EL515,2023,396850.0
EL515,2024,1128415.0
EL515,2024,423837.0
EL531,2015,7353.0
EL531,2015,129882.0
EL531,2016,4403.0
EL531,2016,120360.0
EL531,2017,21573.0
EL531,2017,114214.0
EL531,2018,9296.0
EL531,2018,122638.0
EL531,2019,13650.0
EL531,2019,111377.0
EL531,2020,8718.0
EL531,2020,73515.0
EL531,2021,6367.0
EL531,2021,92150.0
EL531,2022,10909.0
EL531,2022,113660.0
EL531,2023,14231.0
EL531,2023,129379.0
EL531,2024,13748.0
EL531,2024,125816.0
EL541,2015,53229.0
EL541,2015,269328.0
EL541,2016,54966.0
EL541,2016,296780.0
EL541,2017,56848.0
EL541,2017,346584.0
EL541,2018,50989.0
EL541,2018,408033.0
EL541,2019,54985.0
EL541,2019,402061.0
EL541,2020,34154.0
EL541,2020,215076.0
EL541,2021,34036.0
EL541,2021,230868.0
EL541,2022,55616.0
EL541,2022,379310.0
EL541,2023,69069.0
EL541,2023,448703.0
EL541,2024,81908.0
EL541,2024,514931.0
EL611,2015,133658.0
EL611,2015,415126.0
EL611,2016,180543.0
EL611,2016,359289.0
EL611,2017,167022.0
EL611,2017,456345.0
EL611,2018,132376.0
EL611,2018,589609.0
EL611,2019,168434.0
EL611,2019,619721.0
EL611,2020,67397.0
EL611,2020,128946.0
EL611,2021,75490.0
EL611,2021,184346.0
EL611,2022,136761.0
EL611,2022,463757.0
EL611,2023,142269.0
EL611,2023,527928.0
EL611,2024,148923.0
EL611,2024,518886.0
EL613,2015,552242.0
EL613,2015,674498.0
EL613,2016,592354.0
EL613,2016,696829.0
EL613,2017,637508.0
EL613,2017,711349.0
EL613,2018,731897.0
EL613,2018,888484.0
EL613,2019,725331.0
EL613,2019,872886.0
EL613,2020,400542.0
EL613,2020,213775.0
EL613,2021,544414.0
EL613,2021,431993.0
EL613,2022,711017.0
EL613,2022,881288.0
EL613,2023,794825.0
EL613,2023,946518.0
EL613,2024,804654.0
EL613,2024,949061.0
EL623,2015,13763.0
EL623,2015,742677.0
EL623,2016,17008.0
EL623,2016,769993.0
EL623,2017,20468.0
EL623,2017,861180.0
EL623,2018,22748.0
EL623,2018,1120245.0
EL623,2019,20632.0
EL623,2019,1197002.0
EL623,2020,10828.0
EL623,2020,216472.0
EL623,2021,15677.0
EL623,2021,463353.0
EL623,2022,21661.0
EL623,2022,1129134.0
EL623,2023,25475.0
EL623,2023,1239699.0
EL623,2024,26766.0
EL623,2024,1221715.0
EL651,2015,851187.0
EL651,2015,110701.0
EL651,2016,968680.0
EL651,2016,109769.0
EL651,2017,1028636.0
EL651,2017,112382.0
EL651,2018,1259260.0
EL651,2018,142034.0
EL651,2019,1227743.0
EL651,2019,149922.0
EL651,2020,380738.0
EL651,2020,68235.0
EL651,2021,648794.0
EL651,2021,90827.0
EL651,2022,998706.0
EL651,2022,134070.0
EL651,2023,1120734.0
EL651,2023,154120.0
EL651,2024,1197865.0
EL651,2024,163847.0
EL653,2015,257631.0
EL653,2015,627546.0
EL653,2016,319891.0
EL653,2016,740709.0
EL653,2017,344896.0
EL653,2017,836676.0
EL653,2018,485252.0
EL653,2018,1293505.0
EL653,2019,470842.0
EL653,2019,1219322.0
EL653,2020,275257.0
EL653,2020,500431.0
EL653,2021,332855.0
EL653,2021,699475.0
EL653,2022,442456.0
EL653,2022,1148449.0
EL653,2023,535152.0
EL653,2023,1326534.0
EL653,2024,571741.0
EL653,2024,1372661.0
