geo,NUTS_label,NUTS_level,Year,Avg_expenditure_per_journey,Avg_expenditure_per_stay,Avg_duration_of_stay,Avg_expenditure_per_journey_pct_diff,Avg_expenditure_per_stay_pct_diff,Avg_duration_of_stay_pct_diff
EL64,Central Greece,2,2023,336.25450840665127,67.70049991356146,4.9667950581749585,-19.21217168729624,-7.556147226470795,-12.608761005862238
EL64,Central Greece,2,2024,414.1,98.8,4.191295546558705,23.15076516363191,45.936883961190404,-15.613680502879646
EL52,Central Macedonia,2,2016,263.98363366230274,46.4667340548343,5.681131653255034,NA,NA,NA
EL52,Central Macedonia,2,2017,255.00061617091689,45.409796509026904,5.615541926514159,-3.402869097133971,-2.274611218770242,-1.1545186900094937
EL52,Central Macedonia,2,2018,290.5950282871315,50.9153305203529,5.707417104382127,13.958559257894931,12.124110730669244,1.636087470635264
EL52,Central Macedonia,2,2019,332.7691976086911,55.13073814432769,6.036001127674529,14.513038839703782,8.27925023935515,5.757140529296812
EL52,Central Macedonia,2,2020,322.2339915579892,44.97191521470528,7.165227231697319,-3.1659198406609823,-18.426785621892922,18.708182456185902
EL52,Central Macedonia,2,2021,344.98923763042177,47.52561725519948,7.259016453756393,7.061714986184977,5.678437372084993,1.308949723801813
EL52,Central Macedonia,2,2022,271.357452067719,44.53809883910884,6.092703980203134,-21.34321234727404,-6.286122282322997,-16.06708678762832
EL52,Central Macedonia,2,2023,230.7109898749856,46.93948420367597,4.9150729665861554,-14.978937148403734,5.391755434469675,-19.328544722399524
EL52,Central Macedonia,2,2024,211.41889680879825,47.894696129747565,4.414244454877859,-8.36201737795025,2.0349859873338634,-10.189645507056532
EL43,Crete,2,2016,682.1805277860558,78.59865410782697,8.679290193063538,NA,NA,NA
EL43,Crete,2,2017,678.2542151400789,80.95000154951381,8.378680693726961,-0.5755533155892443,2.9915874112311167,-3.4635263097531093
EL43,Crete,2,2018,599.388376401302,71.51848464236134,8.380887534161712,-11.62776979166858,-11.651039810522544,0.026338758038632865
EL43,Crete,2,2019,681.0082487432287,83.24523259225215,8.180747744185075,13.617193051351501,16.39680707516683,-2.388050062249831
EL43,Crete,2,2020,697.1989836857159,81.96487919871473,8.506069800889167,2.3774653203344474,-1.5380501125016866,3.9766787447435092
EL43,Crete,2,2021,760.7212927328613,89.12725917758694,8.535225920244184,9.111073098720993,8.73835238810981,0.3427683999485774
EL43,Crete,2,2022,715.9096823351033,87.39050282918308,8.192076474653643,-5.890673867793827,-1.9486253301510756,-4.020390892953936
EL43,Crete,2,2023,941.0768503960948,113.3648958299518,8.301307415372365,31.451895904879677,29.722214840140353,1.333373059402999
EL43,Crete,2,2024,766.6890417855344,97.81910520365868,7.837825138446047,-18.53066607016859,-13.713055097419161,-5.583244346162167
EL51,Eastern Macedonia & Thrace,2,2016,211.53467188599257,53.26243545869328,3.971554625023567,NA,NA,NA
EL51,Eastern Macedonia & Thrace,2,2017,208.99878689020272,52.02625068051224,4.01717948451912,-1.198803474239234,-2.3209317552513005,1.1487909346150003
EL51,Eastern Macedonia & Thrace,2,2018,166.65739401005234,49.7378130474808,3.3507181719260064,-20.259157246876452,-4.398621086659691,-16.59027970150289
EL51,Eastern Macedonia & Thrace,2,2019,114.74371931951944,43.244347561298746,2.6533807489376624,-31.14993787038432,-13.055390030887063,-20.811580897223344
EL51,Eastern Macedonia & Thrace,2,2020,151.64333611376043,38.80893708312868,3.9074333777537023,32.15828893561398,-10.256624803699212,47.26244544127813
EL51,Eastern Macedonia & Thrace,2,2021,402.7487500609438,52.84381503171135,7.621492691609339,165.58948146511895,36.164035924302645,95.05112320023144
EL51,Eastern Macedonia & Thrace,2,2022,334.4959212900892,62.217518408506415,5.37623373362247,-16.946751233995535,17.73850614526968,-29.459569782947128
EL51,Eastern Macedonia & Thrace,2,2023,254.41177071666772,55.85610618359439,4.554770965960952,-23.941742029185782,-10.22447115801759,-15.279521099020792
EL51,Eastern Macedonia & Thrace,2,2024,267.1422634713949,67.1284612840907,3.9795678071755094,5.003892987681318,20.18106142853033,-12.628585785851643
EL54,Epirus,2,2016,303.9934631948843,60.1416614507565,5.054623631304095,NA,NA,NA
EL54,Epirus,2,2017,303.30884398654337,59.39243246522184,5.106860106532101,-0.22520852953409257,-1.2457736741245944,1.0334394613378757
EL54,Epirus,2,2018,269.5766602403608,66.00018428075632,4.084483447706998,-11.121398012277915,11.125578699615897,-20.019672313275183
EL54,Epirus,2,2019,252.94142148773136,65.2908515226892,3.8740714141219583,-6.170875007427232,-1.0747436023052745,-5.151496787266057
EL54,Epirus,2,2020,309.57079723848454,65.74093936168165,4.708950012644993,22.388336167985017,0.6893582002618691,21.550418391351638
EL54,Epirus,2,2021,299.3808562932932,64.478161312621907,4.643135756333796,-3.2916350754303494,-1.9208396796894285,-1.3976418550731249
EL54,Epirus,2,2022,240.30746199931468,81.88870366736467,2.934561804463942,-19.73185427598161,27.002231453728758,-36.797846143937385
EL54,Epirus,2,2023,192.98752934937067,76.50734156300904,2.5224707251190033,-19.691412100253032,-6.571556104020096,-14.042678491830765
EL54,Epirus,2,2024,191.9009794844306,73.05038213252207,2.626967496710687,-0.5630155837546739,-4.518467587375151,4.142635652857922
EL62,Ionian Islands,2,2016,611.9468067831543,69.95913715510186,8.747203462879293,NA,NA,NA
EL62,Ionian Islands,2,2017,598.3621033624955,71.15694465670123,8.40904715975807,-2.219915729615465,1.7121530514931735,-3.8658790155764113
EL62,Ionian Islands,2,2018,534.7640174190003,68.2939685342644,7.830325706591482,-10.628695498278686,-4.023466910010465,-6.882128761699521
EL62,Ionian Islands,2,2019,627.0786390179977,80.4913399433955,7.790634861576198,17.262683836610254,17.86010049044295,-0.5068862586632038
EL62,Ionian Islands,2,2020,554.0890374836359,64.52377752301678,8.587362035429226,-11.639624919876583,-19.837615365339563,10.226729759631361
EL62,Ionian Islands,2,2021,744.6410163350644,90.15262751249644,8.259781626795586,34.39013695647354,39.7200086128519,-3.814680309064976
EL62,Ionian Islands,2,2022,821.0072598361346,108.5387575032762,7.564185169628028,10.255444143666121,20.39444717041795,-8.421487257132455
EL62,Ionian Islands,2,2023,603.5758806667785,75.75100990396425,7.967892196183008,-26.483490439871794,-30.208331432504437,5.3370854560244965
EL62,Ionian Islands,2,2024,577.8205016167088,80.37016628310266,7.189489935622941,-4.267131917467835,6.0978149136156725,-9.769236849526624
EL41,North Aegean,2,2016,398.5798897223552,53.19702866459954,7.4925216638574,NA,NA,NA
EL41,North Aegean,2,2017,457.8850460440541,51.85177096556415,8.830653949083922,14.879114037341424,-2.5288211255502087,17.85957178717862
EL41,North Aegean,2,2018,422.20001054290833,52.73899547735142,8.00546174081417,-7.7934485542715075,1.7110785133578141,-9.344633059201204
EL41,North Aegean,2,2019,460.1345035099732,56.96233072014383,8.07787352962462,8.984957844573419,8.007993335038217,0.9045298217000298
EL41,North Aegean,2,2020,559.1918065265412,42.26688090607089,13.230023000022772,21.527901572462934,-25.798540242799668,63.78101181583581
EL41,North Aegean,2,2021,683.3312141380527,53.42965230455855,12.789362922351485,22.1997901547614,26.410208558550934,-3.330758213122751
EL41,North Aegean,2,2022,638.1054525643915,58.36175532751397,10.93362338030234,-6.618424658195739,9.23102212015446,-14.51002331637598
EL41,North Aegean,2,2023,715.8597614213855,72.91586092164245,9.817613786260711,12.185181703826268,24.937744782441655,-10.207134041695591
EL41,North Aegean,2,2024,677.2,64.1180110065453,10.5617749111224,-5.400465776233051,-12.06575606993323,7.579857397763065
EL65,Peloponnese,2,2016,383.7320527114867,56.16455428321439,6.832281634008635,NA,NA,NA
EL65,Peloponnese,2,2017,422.7321701421613,58.93435957475498,7.172932279105346,10.163372372752319,4.931589553036625,4.98589875746742
EL65,Peloponnese,2,2018,468.9508310072655,62.81724399129614,7.465320049256581,10.933319990660102,6.588490049876482,4.0762655881048335
EL65,Peloponnese,2,2019,463.993701279911,64.47292986016325,7.196721202003339,-1.05706811878486,2.635718735283132,-3.597954883126417
EL65,Peloponnese,2,2020,475.37224191994017,47.79264118829034,9.946557254433785,2.4523049792792064,-25.871770847161983,38.209567596768636
EL65,Peloponnese,2,2021,523.2646674119484,60.97928175107563,8.581023790145222,10.074720664921369,27.591361839228394,-13.728704609626222
EL65,Peloponnese,2,2022,508.5694518311186,56.32658263719184,9.028942073530228,-2.808371460185124,-7.629967064677211,5.2198699635282715
EL65,Peloponnese,2,2023,523.6105930920082,69.1690670164674,7.570010926522254,2.957539271525957,22.80004178843223,-16.1583841731033
EL65,Peloponnese,2,2024,490.9475353508656,69.14200632793597,7.100568256904982,-6.238043724108365,-0.03912252933089063,-6.20134731870116
EL42,South Aegean,2,2016,600.0374481512584,78.41001580178317,7.652561245085384,NA,NA,NA
EL42,South Aegean,2,2017,625.5028082698839,79.06229364089941,7.911518619873525,4.2439618055648545,0.8318807647803123,3.3839307716020937
EL42,South Aegean,2,2018,665.8323347331986,86.40832873602128,7.705649958435446,6.44753723406369,9.291452039688505,-2.602138367227532
EL42,South Aegean,2,2019,750.6911528835798,97.32795707087033,7.713006370173336,12.744772778928551,12.637240523663728,0.09546776427128732
EL42,South Aegean,2,2020,799.1418414075681,92.21067681133236,8.666478427901056,6.454144069485558,-5.257770134650792,12.361873074743661
