NUTS_name,NUTS_level,year,Hotel_Arrivals_Natives,Hotel_Arrivals_Foreign,Hotel_Arrivals_Total,Hotel_Beds,Hotel_Arrivals_Natives_pct_diff,Hotel_Arrivals_Foreign_pct_diff,Hotel_Arrivals_Total_pct_diff,Hotel_Beds_pct_diff
ΙΟΝΙΑ ΝΗΣΙΑ,2,2020,130531,496897,627428,64835,-56.80727715531789,-75.00523137780407,-72.60390968513805,-42.570530138624385
ΙΟΝΙΑ ΝΗΣΙΑ,2,2021,182589,1142797,1325386,81832,39.88171392236327,129.98669744433957,111.24113045640296,26.21577851469114
ΙΟΝΙΑ ΝΗΣΙΑ,2,2022,265106,1864203,2129309,106404,45.192755313846945,63.12634702401214,60.65576367941114,30.027373154756088
ΙΟΝΙΑ ΝΗΣΙΑ,2,2023,301667,2243247,2544914,107084,13.791087338649447,20.33276418930771,19.518303825325493,0.639073719033119
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,2,2015,1046867,1345235,2392102,79065,NA,NA,NA,NA
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,2,2016,1091544,1338542,2430086,78157,4.26768634411057,-0.4975338881310701,1.5878921551004097,-1.148422184278758
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,2,2017,1071127,1476417,2547544,80036,-1.8704697199563187,10.300386539981563,4.833491489601602,2.404135266194966
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,2,2018,1237420,1840904,3078324,97959,15.52504978401254,24.687266537841275,20.834968895532324,22.393672847218753
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,2,2019,1217009,1875158,3092167,98869,-1.6494803704481906,1.8607162567955744,0.4496927548886992,0.9289600751334741
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,2,2020,574915,389180,964095,71048,-52.76000423990291,-79.24548224736262,-68.82137995780953,-28.139254973753147
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,2,2021,690445,968014,1658459,74142,20.095144499621682,148.73169227606763,72.02236294141137,4.354802387118568
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,2,2022,1063013,1730733,2793746,96476,53.96056166675115,78.79214556814262,68.45433019447572,30.123276955032235
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,2,2023,1272281,1994772,3267053,93967,19.686306752598508,15.255906023632763,16.94166184041069,-2.600646792984784
ΚΡΗΤΗ,2,2015,333590,2982814,3316404,176672,NA,NA,NA,NA
ΚΡΗΤΗ,2,2016,372011,3334850,3706861,180530,11.517431577685182,11.802143881582962,11.773505278608999,2.183707661655497
ΚΡΗΤΗ,2,2017,339135,3654789,3993924,186209,-8.837373088430182,9.593804818807444,7.744099387595056,3.1457375505456158
ΚΡΗΤΗ,2,2018,435829,4687528,5123357,209557,28.511949518628278,28.257144256481016,28.27878046753018,12.538599101010156
ΚΡΗΤΗ,2,2019,460130,4573656,5033786,215581,5.575810696396982,-2.4292548225845265,-1.748287304593453,2.874635540688214
ΚΡΗΤΗ,2,2020,209568,1201049,1410617,140118,-54.45461065351096,-73.73984838387496,-71.9770169013939,-35.00447627573858
ΚΡΗΤΗ,2,2021,300162,2670637,2970799,166714,43.228928080623,122.35870476558408,110.60280714042152,18.981144463951814
ΚΡΗΤΗ,2,2022,442046,4426074,4868120,201581,47.26914133034828,65.73102222428582,63.86568057953432,20.91426035006058
ΚΡΗΤΗ,2,2023,504586,4868816,5373402,200093,14.14784886640757,10.003041069805882,10.379407245507506,-0.7381648071990912
ΝΟΤΙΟ ΑΙΓΑΙΟ,2,2015,317242,2894010,3211252,177745,NA,NA,NA,NA
ΝΟΤΙΟ ΑΙΓΑΙΟ,2,2016,367306,2933974,3301280,178687,15.781012602366648,1.3809212822346848,2.803517132881505,0.5299727137190919
ΝΟΤΙΟ ΑΙΓΑΙΟ,2,2017,375643,3323048,3698691,184699,2.269769619880971,13.26099004285655,12.038088256676199,3.364542468114636
ΝΟΤΙΟ ΑΙΓΑΙΟ,2,2018,641703,4877492,5519195,239453,70.8278871162247,46.77765713886769,49.22022412794148,29.644989956632138
ΝΟΤΙΟ ΑΙΓΑΙΟ,2,2019,628293,5127923,5756216,253395,-2.0897518010668485,5.134421542874904,4.294484974710986,5.822436970929577
ΝΟΤΙΟ ΑΙΓΑΙΟ,2,2020,278192,1325308,1603500,153242,-55.72256892882778,-74.15507214129386,-72.14315793569942,-39.5244578622309
ΝΟΤΙΟ ΑΙΓΑΙΟ,2,2021,366643,2887263,3253906,186769,31.794947374475186,117.85600026559864,102.9252260679763,21.878466738883596
ΝΟΤΙΟ ΑΙΓΑΙΟ,2,2022,575556,4846585,5422141,239367,56.97995052407928,67.86087723910153,66.63483825285672,28.162061155759254
ΝΟΤΙΟ ΑΙΓΑΙΟ,2,2023,661181,5240993,5902174,236184,14.87691901396215,8.137853767137067,8.853200239536376,-1.3297572347065385
ΠΕΛΟΠΟΝΝΗΣΟΣ,2,2015,609690,325450,935140,33517,NA,NA,NA,NA
ΠΕΛΟΠΟΝΝΗΣΟΣ,2,2016,635952,347843,983795,34007,4.307434925945972,6.880626824396989,5.202964262035631,1.4619446847868245
ΠΕΛΟΠΟΝΝΗΣΟΣ,2,2017,669096,464780,1133876,36901,5.211714091629557,33.61775283676831,15.25531233641155,8.5100126444555535
ΠΕΛΟΠΟΝΝΗΣΟΣ,2,2018,887776,657247,1545023,40607,32.68290349964729,41.410344679203064,36.26031417897548,10.0430882631907
ΠΕΛΟΠΟΝΝΗΣΟΣ,2,2019,837452,655289,1492741,42134,-5.668547020870129,-0.2979093095898498,-3.383897844886451,3.760435392912552
ΠΕΛΟΠΟΝΝΗΣΟΣ,2,2020,482787,119647,602434,33211,-42.35048695328209,-81.74133855443934,-59.642429597632805,-21.177671239379123
ΠΕΛΟΠΟΝΝΗΣΟΣ,2,2021,563169,242308,805477,31290,16.649578385499193,102.51907695136526,33.70377501933822,-5.784228117190088
ΠΕΛΟΠΟΝΝΗΣΟΣ,2,2022,752843,499891,1252734,40839,33.67976575415195,106.30396024893936,55.526973457963415,30.517737296260787
ΠΕΛΟΠΟΝΝΗΣΟΣ,2,2023,882058,589386,1471444,41517,17.163605160704158,17.902902832817556,17.45861451832552,1.6601777712480719
ΣΤΕΡΕΑ ΕΛΛΑΔΑ,2,2015,326943,186657,513600,23677,NA,NA,NA,NA
ΣΤΕΡΕΑ ΕΛΛΑΔΑ,2,2016,351387,189844,541231,24643,7.476532606601151,1.7074098480099862,5.379867601246105,4.079908772226211
ΣΤΕΡΕΑ ΕΛΛΑΔΑ,2,2017,354539,244117,598656,24835,0.8970166796153528,28.588209266555697,10.610072224244362,0.7791259181106197
ΣΤΕΡΕΑ ΕΛΛΑΔΑ,2,2018,421381,355892,777273,29190,18.853215020068316,45.787470761970695,29.8363333867864,17.53573585665392
ΣΤΕΡΕΑ ΕΛΛΑΔΑ,2,2019,439819,377584,817403,29952,4.375612569147636,6.0951075045238445,5.16292216505655,2.6104830421377185
ΣΤΕΡΕΑ ΕΛΛΑΔΑ,2,2020,247893,61171,309064,23158,-43.6374963337191,-83.79936649858045,-62.18951973506337,-22.6829594017094
ΣΤΕΡΕΑ ΕΛΛΑΔΑ,2,2021,286076,138869,424945,19644,15.403016624107982,127.01770446780336,37.494175963554476,-15.174021936263927
ΣΤΕΡΕΑ ΕΛΛΑΔΑ,2,2022,424468,310852,735320,28869,48.3759560396538,123.84549467483743,73.0388638529692,46.96090409285278
ΣΤΕΡΕΑ ΕΛΛΑΔΑ,2,2023,487212,383552,870764,29836,14.781797449984452,23.387335452240936,18.41973562530599,3.3496137725588
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΙΤ/ΝΙΑΣ,3,2015,106595,19759,126354,3776,NA,NA,NA,NA
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΙΤ/ΝΙΑΣ,3,2016,101070,21121,118982,3537,-5.183169942304986,6.893061389746445,-5.8344017601342255,-6.329449152542373
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΙΤ/ΝΙΑΣ,3,2017,100535,23220,123755,3464,-0.5293361036905115,9.937976421570948,4.011531155973173,-2.063895957025728
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΙΤ/ΝΙΑΣ,3,2018,94316,19036,113352,3395,-6.185905406077485,-18.01894918173988,-8.406125005050301,-1.991916859122402
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΙΤ/ΝΙΑΣ,3,2019,98842,20938,119780,3604,4.798761609907121,9.99159487287245,5.670830686710424,6.156111929307806
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΙΤ/ΝΙΑΣ,3,2020,59999,6828,66827,3124,-39.298071669937876,-67.38943547616773,-44.20854900651194,-13.318534961154274
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΙΤ/ΝΙΑΣ,3,2021,62551,13835,76386,2647,4.253404223403724,102.6215582893966,14.304098642764151,-15.26888604353393
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΙΤ/ΝΙΑΣ,3,2022,104760,19656,124416,4412,67.47933686112133,42.074448861582944,62.878014295813365,66.67925953910087
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΙΤ/ΝΙΑΣ,3,2023,115310,27917,143227,4198,10.070637647957236,42.02787952787953,15.119438014403292,-4.850407978241161
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,3,2015,128069,296834,424903,9027,NA,NA,NA,NA
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,3,2016,120167,314049,434178,8902,-6.170111424310333,5.799537788797779,2.1828511448495305,-1.3847346848343858
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,3,2017,128942,392361,521303,10888,7.302337580200888,24.93623606507265,20.06665469001193,22.30959334980903
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,3,2018,156904,485102,642006,12407,21.685719160552807,23.63665094135248,23.154096561884355,13.95113886847906
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,3,2019,185710,480794,666504,12904,18.358996583898435,-0.8880606552848679,3.8158521882973058,4.005803175626663
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,3,2020,74418,111955,186373,10242,-59.927844488718975,-76.71455966588601,-72.03722708340835,-20.629262244265345
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,3,2021,103674,242461,346135,9394,39.313069418689025,116.57005046670537,85.72164422958262,-8.279632884202304
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,3,2022,141344,440320,581664,12772,36.3350502536798,81.60446422311217,68.04541580597166,35.95912284436874
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,3,2023,161744,509384,671128,12647,14.432872990717682,15.684956395348838,15.380700885734718,-0.978703413717507
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΝΔΡΟΥ,3,2015,11645,4887,16532,1361,NA,NA,NA,NA
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΝΔΡΟΥ,3,2016,17972,4365,22337,1321,54.332331472735085,-10.681399631675875,35.11371884829422,-2.9390154298310067
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΝΔΡΟΥ,3,2017,19757,6477,26234,1348,9.932116625862452,48.38487972508591,17.44638939875543,2.043906131718395
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΝΔΡΟΥ,3,2018,20062,8953,29015,1452,1.543756643215063,38.227574494364674,10.600747122055349,7.71513353115727
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΝΔΡΟΥ,3,2019,19924,9556,29480,1439,-0.687867610407736,6.73517256785435,1.6026193348268138,-0.8953168044077136
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΝΔΡΟΥ,3,2020,7610,2003,9613,958,-61.8048584621562,-79.03934700711595,-67.39145183175033,-33.42599027102155
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΝΔΡΟΥ,3,2021,13060,5686,18746,1067,71.61629434954008,183.8741887169246,95.00676167689586,11.377870563674323
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΝΔΡΟΥ,3,2022,17514,9048,26562,1331,34.104134762634,59.127682026028836,41.69422810199509,24.742268041237114
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΝΔΡΟΥ,3,2023,19218,10129,29347,1384,9.729359369647138,11.947391688770999,10.484903245237557,3.9819684447783623
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΡΓΟΛΙΔΑΣ,3,2015,174674,143195,317869,9750,NA,NA,NA,NA
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΡΓΟΛΙΔΑΣ,3,2016,176620,135166,311786,9873,1.114075363248108,-5.607039351932679,-1.9136814222211036,1.2615384615384615
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΡΓΟΛΙΔΑΣ,3,2017,192173,156481,348654,10644,8.805910995357264,15.769498246600477,11.824777251063228,7.809176542084472
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΡΓΟΛΙΔΑΣ,3,2018,216092,221398,437490,11392,12.446597596956908,41.48554776618247,25.479701939458604,7.027433295753475
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΡΓΟΛΙΔΑΣ,3,2019,224334,219285,443619,11517,3.814116209762509,-0.954389831886467,1.4009463073441677,1.0972612359550562
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΡΓΟΛΙΔΑΣ,3,2020,120475,39004,159479,8229,-46.29659347223337,-82.21310167134095,-64.0504577125867,-28.549101328470954
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΡΓΟΛΙΔΑΣ,3,2021,161810,77564,239374,8532,34.31002282631251,98.86165521484976,50.097505000658394,3.682099890630696
