geo,year,temporary_employment,geo_label,NUTS_level,Country_code,temporary_employment_diff
EL,2016,11.2,Greece,0,EL,-6.666666666666672
EL,2017,11.4,Greece,0,EL,1.7857142857142954
EL,2018,11.3,Greece,0,EL,-0.8771929824561372
EL,2019,12.5,Greece,0,EL,10.619469026548666
EL,2020,10.1,Greece,0,EL,-19.200000000000003
EL,2021,10.1,Greece,0,EL,0
EL,2022,10.1,Greece,0,EL,0
EL,2023,10.8,Greece,0,EL,6.930693069306941
EL,2024,9.6,Greece,0,EL,-11.11111111111112
ES,1995,35,Spain,0,ES,NA
ES,1996,33.7,Spain,0,ES,-3.714285714285706
ES,1997,33.6,Spain,0,ES,-0.2967359050445146
ES,1998,32.9,Spain,0,ES,-2.0833333333333415
ES,1999,32.8,Spain,0,ES,-0.30395136778115933
ES,2000,32.3,Spain,0,ES,-1.5243902439024393
ES,2001,32,Spain,0,ES,-0.928792569659434
ES,2002,32.2,Spain,0,ES,0.6250000000000089
ES,2003,31.9,Spain,0,ES,-0.9316770186335536
ES,2004,32.2,Spain,0,ES,0.9404388714733677
ES,2005,33.4,Spain,0,ES,3.7267080745341477
ES,2006,34,Spain,0,ES,1.796407185628747
ES,2007,31.6,Spain,0,ES,-7.05882352941176
ES,2008,29.1,Spain,0,ES,-7.911392405063291
ES,2009,25.2,Spain,0,ES,-13.40206185567011
ES,2010,24.7,Spain,0,ES,-1.984126984126984
ES,2011,25.1,Spain,0,ES,1.6194331983805754
ES,2012,23.4,Spain,0,ES,-6.772908366533875
ES,2013,23.1,Spain,0,ES,-1.28205128205127
ES,2014,24,Spain,0,ES,3.89610389610389
ES,2015,25.1,Spain,0,ES,4.583333333333339
ES,2016,26.1,Spain,0,ES,3.9840637450199203
ES,2017,26.7,Spain,0,ES,2.2988505747126355
ES,2018,26.8,Spain,0,ES,0.37453183520599787
ES,2019,26.3,Spain,0,ES,-1.8656716417910446
ES,2020,24.1,Spain,0,ES,-8.36501901140684
ES,2021,25.2,Spain,0,ES,4.564315352697086
ES,2022,21.3,Spain,0,ES,-15.476190476190471
ES,2023,17.2,Spain,0,ES,-19.24882629107982
ES,2024,15.9,Spain,0,ES,-7.558139534883715
FR,1995,12.2,France,0,FR,NA
FR,1996,12.5,France,0,FR,2.459016393442629
FR,1997,13,France,0,FR,4
FR,1998,13.8,France,0,FR,6.153846153846159
FR,1999,13.9,France,0,FR,0.7246376811594177
FR,2000,15.4,France,0,FR,10.79136690647482
FR,2001,14.9,France,0,FR,-3.2467532467532463
FR,2002,14.1,France,0,FR,-5.369127516778528
FR,2003,13.3,France,0,FR,-5.67375886524822
FR,2004,12.8,France,0,FR,-3.7593984962406015
FR,2005,13.9,France,0,FR,8.593749999999996
FR,2006,14.8,France,0,FR,6.4748201438848945
FR,2007,15.1,France,0,FR,2.0270270270270196
FR,2008,15,France,0,FR,-0.6622516556291367
