NUTS_label,NUTS_level,year,Turnover_Catering,Turnover_Accomodation,Turnover_Catering_pct_diff,Turnover_Accomodation_pct_diff
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,2,2020,306127,538378,-53.121774630719145,-72.65317691232404
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,2,2021,667972,1531967,118.20094274598452,184.55230340021322
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,2,2022,1092854,2676947,63.60775601372512,74.73920782888926
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,2,2023,1139204,2752529,4.241188667470678,2.823440284772168
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,2,2024,1188769,3002555,4.350844975965675,9.083501027600436
ΠΕΛΟΠΟΝΝΗΣΟΥ,2,2019,310022,125258,NA,NA
ΠΕΛΟΠΟΝΝΗΣΟΥ,2,2020,252101,66658,-18.682867667455856,-46.78343898194127
ΠΕΛΟΠΟΝΝΗΣΟΥ,2,2021,313929,104261,24.525091134108948,56.41183353835999
ΠΕΛΟΠΟΝΝΗΣΟΥ,2,2022,455922,157705,45.230928012384965,51.259819107815964
ΠΕΛΟΠΟΝΝΗΣΟΥ,2,2023,539344,182369,18.297428068836336,15.639326590786595
ΠΕΛΟΠΟΝΝΗΣΟΥ,2,2024,544984,199875,1.045714794268593,9.599219165538003
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,2,2019,185480,59927,NA,NA
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,2,2020,158633,33417,-14.474336855725683,-44.237155205500024
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,2,2021,187591,45597,18.254713710262052,36.4485142292845
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,2,2022,268888,70305,43.33736693124936,54.18777551154681
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,2,2023,319195,88806,18.709276724881736,26.31534030296565
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,2,2024,333671,91054,4.535158758752487,2.531360493660338
