geo,geo_label,NUTS_level,Country_code,year,education_level,education_level_pct,education_level_pct_diff
FRD2,Haute-Normandie,2,FR,2016,high,27.1,-2.1660649819494506
FRD2,Haute-Normandie,2,FR,2017,high,27.4,1.1070110701106906
FRD2,Haute-Normandie,2,FR,2018,high,27,-1.459854014598535
FRD2,Haute-Normandie,2,FR,2019,high,28.9,7.037037037037032
FRD2,Haute-Normandie,2,FR,2020,high,31.8,10.034602076124575
FRD2,Haute-Normandie,2,FR,2021,high,33.8,6.289308176100618
FRD2,Haute-Normandie,2,FR,2022,high,35.4,4.733727810650892
FRD2,Haute-Normandie,2,FR,2023,high,35,-1.1299435028248548
FRD2,Haute-Normandie,2,FR,2024,high,36.9,5.428571428571424
FRE,Hauts-de-France,1,FR,2008,high,21.9,NA
FRE,Hauts-de-France,1,FR,2009,high,23.5,7.305936073059367
FRE,Hauts-de-France,1,FR,2010,high,23.9,1.7021276595744619
FRE,Hauts-de-France,1,FR,2011,high,23.6,-1.2552301255230007
FRE,Hauts-de-France,1,FR,2012,high,24.2,2.542372881355923
FRE,Hauts-de-France,1,FR,2013,high,25.6,5.785123966942158
FRE,Hauts-de-France,1,FR,2014,high,26.7,4.296874999999992
FRE,Hauts-de-France,1,FR,2015,high,26.6,-0.37453183520598454
FRE,Hauts-de-France,1,FR,2016,high,26.7,0.3759398496240521
FRE,Hauts-de-France,1,FR,2017,high,27.9,4.494382022471908
FRE,Hauts-de-France,1,FR,2018,high,30.7,10.035842293906812
FRE,Hauts-de-France,1,FR,2019,high,31.4,2.280130293159607
FRE,Hauts-de-France,1,FR,2020,high,32.3,2.866242038216556
FRE,Hauts-de-France,1,FR,2021,high,34.5,6.811145510835923
FRE,Hauts-de-France,1,FR,2022,high,33.7,-2.3188405797101366
FRE,Hauts-de-France,1,FR,2023,high,34.2,1.4836795252225519
FRE,Hauts-de-France,1,FR,2024,high,36.7,7.309941520467836
FRE1,Nord-Pas de Calais,2,FR,2008,high,22.8,NA
FRE1,Nord-Pas de Calais,2,FR,2009,high,24.4,7.017543859649113
FRE1,Nord-Pas de Calais,2,FR,2010,high,26,6.557377049180333
FRE1,Nord-Pas de Calais,2,FR,2011,high,25.4,-2.307692307692313
FRE1,Nord-Pas de Calais,2,FR,2012,high,26.1,2.755905511811035
FRE1,Nord-Pas de Calais,2,FR,2013,high,27.6,5.747126436781609
FRE1,Nord-Pas de Calais,2,FR,2014,high,29,5.072463768115937
FRE1,Nord-Pas de Calais,2,FR,2015,high,27.8,-4.137931034482756
FRE1,Nord-Pas de Calais,2,FR,2016,high,28.6,2.8776978417266212
FRE1,Nord-Pas de Calais,2,FR,2017,high,29.7,3.8461538461538387
FRE1,Nord-Pas de Calais,2,FR,2018,high,31.9,7.407407407407406
FRE1,Nord-Pas de Calais,2,FR,2019,high,33,3.44827586206897
FRE1,Nord-Pas de Calais,2,FR,2020,high,32.1,-2.727272727272723
FRE1,Nord-Pas de Calais,2,FR,2021,high,35.8,11.526479750778803
FRE1,Nord-Pas de Calais,2,FR,2022,high,34.6,-3.351955307262558
FRE1,Nord-Pas de Calais,2,FR,2023,high,34.9,0.8670520231213791
