geo,year,unemployment_rate,geo_label,NUTS_level,Country_code,unemployment_rate_pct_diff
AT21,2016,9.1,Kärnten,2,AT,-8.080808080808087
AT21,2017,8.7,Kärnten,2,AT,-4.3956043956043995
AT21,2018,8,Kärnten,2,AT,-8.045977011494246
AT21,2019,9,Kärnten,2,AT,12.5
AT21,2020,10,Kärnten,2,AT,11.11111111111111
AT21,2021,8.8,Kärnten,2,AT,-11.999999999999993
AT21,2022,8,Kärnten,2,AT,-9.090909090909099
AT21,2023,7.9,Kärnten,2,AT,-1.2499999999999956
AT21,2024,7.9,Kärnten,2,AT,0
AT22,2000,11.8,Steiermark,2,AT,NA
AT22,2001,9.7,Steiermark,2,AT,-17.796610169491537
AT22,2002,8.2,Steiermark,2,AT,-15.463917525773196
AT22,2003,7.3,Steiermark,2,AT,-10.975609756097555
AT22,2004,8.6,Steiermark,2,AT,17.80821917808219
AT22,2005,8.3,Steiermark,2,AT,-3.4883720930232434
AT22,2006,8.6,Steiermark,2,AT,3.614457831325288
AT22,2007,8.4,Steiermark,2,AT,-2.3255813953488293
AT22,2008,8.3,Steiermark,2,AT,-1.1904761904761862
AT22,2009,8.6,Steiermark,2,AT,3.614457831325288
AT22,2010,9.1,Steiermark,2,AT,5.813953488372093
AT22,2011,6.3,Steiermark,2,AT,-30.76923076923077
AT22,2012,6.9,Steiermark,2,AT,9.523809523809533
AT22,2013,8.4,Steiermark,2,AT,21.73913043478261
AT22,2014,7.7,Steiermark,2,AT,-8.333333333333336
AT22,2015,7.7,Steiermark,2,AT,0
AT22,2016,6.7,Steiermark,2,AT,-12.987012987012985
AT22,2017,7.2,Steiermark,2,AT,7.462686567164178
AT22,2018,6.6,Steiermark,2,AT,-8.333333333333341
AT22,2019,7.3,Steiermark,2,AT,10.606060606060609
AT22,2020,8.4,Steiermark,2,AT,15.068493150684938
AT22,2021,7.7,Steiermark,2,AT,-8.333333333333336
AT22,2022,7.7,Steiermark,2,AT,0
AT22,2023,8,Steiermark,2,AT,3.896103896103894
AT22,2024,8,Steiermark,2,AT,0
AT3,2000,7.5,Westösterreich,1,AT,NA
AT3,2001,7.8,Westösterreich,1,AT,3.9999999999999973
AT3,2002,5.9,Westösterreich,1,AT,-24.358974358974354
AT3,2003,6.1,Westösterreich,1,AT,3.3898305084745637
AT3,2004,9.3,Westösterreich,1,AT,52.459016393442646
AT3,2005,8.8,Westösterreich,1,AT,-5.376344086021505
AT3,2006,7.6,Westösterreich,1,AT,-13.636363636363647
AT3,2007,8,Westösterreich,1,AT,5.263157894736848
AT3,2008,7.6,Westösterreich,1,AT,-5.000000000000004
AT3,2009,8,Westösterreich,1,AT,5.263157894736848
AT3,2010,8.1,Westösterreich,1,AT,1.2499999999999956
AT3,2011,7.4,Westösterreich,1,AT,-8.641975308641966
AT3,2012,6.9,Westösterreich,1,AT,-6.756756756756756
AT3,2013,6.8,Westösterreich,1,AT,-1.4492753623188481
AT3,2014,7.5,Westösterreich,1,AT,10.294117647058826
AT3,2015,6.7,Westösterreich,1,AT,-10.666666666666664
AT3,2016,7,Westösterreich,1,AT,4.477611940298504
AT3,2017,7,Westösterreich,1,AT,0
AT3,2018,7.2,Westösterreich,1,AT,2.85714285714286
AT3,2019,6.5,Westösterreich,1,AT,-9.722222222222223
AT3,2020,8.2,Westösterreich,1,AT,26.153846153846143
AT3,2021,8.6,Westösterreich,1,AT,4.87804878048781
AT3,2022,7.1,Westösterreich,1,AT,-17.441860465116278
AT3,2023,8,Westösterreich,1,AT,12.676056338028175
AT3,2024,8,Westösterreich,1,AT,0
AT31,2000,7.2,Oberösterreich,2,AT,NA
AT31,2001,7,Oberösterreich,2,AT,-2.77777777777778
AT31,2002,5.8,Oberösterreich,2,AT,-17.142857142857146
AT31,2003,5.4,Oberösterreich,2,AT,-6.896551724137923
AT31,2004,9.3,Oberösterreich,2,AT,72.22222222222221
AT31,2005,8.5,Oberösterreich,2,AT,-8.602150537634417
AT31,2006,6.5,Oberösterreich,2,AT,-23.52941176470588
AT31,2007,7.8,Oberösterreich,2,AT,20
AT31,2008,7.2,Oberösterreich,2,AT,-7.692307692307689
AT31,2009,8.1,Oberösterreich,2,AT,12.499999999999991
AT31,2010,8,Oberösterreich,2,AT,-1.2345679012345634
AT31,2011,7.7,Oberösterreich,2,AT,-3.749999999999998
AT31,2012,6.5,Oberösterreich,2,AT,-15.584415584415586
AT31,2013,6.9,Oberösterreich,2,AT,6.153846153846159
AT31,2014,7.7,Oberösterreich,2,AT,11.594202898550723
AT31,2015,6.6,Oberösterreich,2,AT,-14.285714285714294
AT31,2016,7.2,Oberösterreich,2,AT,9.090909090909099
AT31,2017,7.4,Oberösterreich,2,AT,2.77777777777778
AT31,2018,7.4,Oberösterreich,2,AT,0
AT31,2019,5.9,Oberösterreich,2,AT,-20.27027027027027
AT31,2020,8,Oberösterreich,2,AT,35.593220338983045
AT31,2021,8.5,Oberösterreich,2,AT,6.25
AT31,2022,7.1,Oberösterreich,2,AT,-16.470588235294123
AT31,2023,8.6,Oberösterreich,2,AT,21.126760563380284
AT31,2024,8.5,Oberösterreich,2,AT,-1.1627906976744147
AT32,2000,9.1,Salzburg,2,AT,NA
AT32,2001,7.5,Salzburg,2,AT,-17.582417582417577
AT32,2002,5.3,Salzburg,2,AT,-29.333333333333332
AT32,2003,5.9,Salzburg,2,AT,11.320754716981142
AT32,2004,8.2,Salzburg,2,AT,38.983050847457605
AT32,2005,8.1,Salzburg,2,AT,-1.219512195121947
AT32,2006,8.2,Salzburg,2,AT,1.2345679012345634
AT32,2007,8,Salzburg,2,AT,-2.439024390243894
AT32,2008,7.4,Salzburg,2,AT,-7.499999999999996
AT32,2009,7.2,Salzburg,2,AT,-2.702702702702705
AT32,2010,7.6,Salzburg,2,AT,5.555555555555548
AT32,2011,6.3,Salzburg,2,AT,-17.105263157894733
AT32,2012,7.1,Salzburg,2,AT,12.698412698412694
AT32,2013,6,Salzburg,2,AT,-15.492957746478869
AT32,2014,6.7,Salzburg,2,AT,11.66666666666667
AT32,2015,6.2,Salzburg,2,AT,-7.462686567164178
AT32,2016,6.8,Salzburg,2,AT,9.677419354838705
AT32,2017,5.5,Salzburg,2,AT,-19.11764705882353
AT32,2018,6.3,Salzburg,2,AT,14.545454545454541
AT32,2019,6.6,Salzburg,2,AT,4.761904761904759
AT32,2020,8.6,Salzburg,2,AT,30.303030303030305
AT32,2021,8.5,Salzburg,2,AT,-1.1627906976744147
AT32,2022,6.9,Salzburg,2,AT,-18.823529411764703
AT32,2023,7.1,Salzburg,2,AT,2.898550724637671
AT32,2024,6.7,Salzburg,2,AT,-5.633802816901401
AT33,2000,6.9,Tirol,2,AT,NA
AT33,2001,10.2,Tirol,2,AT,47.82608695652172
AT33,2002,5.1,Tirol,2,AT,-50
AT33,2003,5.8,Tirol,2,AT,13.725490196078436
AT33,2004,9.2,Tirol,2,AT,58.620689655172406
AT33,2005,9.4,Tirol,2,AT,2.1739130434782727
