geo,year,unemployment_pct,geo_label,NUTS_level,Country_code,unemployment_diff
DE40,2024,3.1,Brandenburg,2,DE,-6.0606060606060534
DE50,2013,7,Bremen,2,DE,NA
DE50,2014,6.6,Bremen,2,DE,-5.71428571428572
DE50,2015,5.6,Bremen,2,DE,-15.151515151515152
DE50,2016,5.4,Bremen,2,DE,-3.5714285714285587
DE50,2017,4.3,Bremen,2,DE,-20.370370370370377
DE50,2018,4.3,Bremen,2,DE,0
DE50,2019,5.1,Bremen,2,DE,18.604651162790695
DE50,2020,NA,Bremen,2,DE,NA
DE50,2021,6.5,Bremen,2,DE,NA
DE50,2022,5.6,Bremen,2,DE,-13.846153846153852
DE50,2023,4.7,Bremen,2,DE,-16.071428571428566
DE50,2024,4.8,Bremen,2,DE,2.1276595744680775
DE60,2013,4.7,Hamburg,2,DE,NA
DE60,2014,5,Hamburg,2,DE,6.382978723404251
DE60,2015,4.3,Hamburg,2,DE,-14.000000000000004
DE60,2016,4.1,Hamburg,2,DE,-4.651162790697678
DE60,2017,4.2,Hamburg,2,DE,2.4390243902439157
DE60,2018,4.1,Hamburg,2,DE,-2.380952380952394
DE60,2019,3.6,Hamburg,2,DE,-12.195121951219502
DE60,2020,4.8,Hamburg,2,DE,33.33333333333333
DE60,2021,4.5,Hamburg,2,DE,-6.2499999999999964
DE60,2022,4,Hamburg,2,DE,-11.11111111111111
DE60,2023,4.1,Hamburg,2,DE,2.499999999999991
DE60,2024,4.8,Hamburg,2,DE,17.073170731707325
DE71,2013,4.3,Darmstadt,2,DE,NA
DE71,2014,4.5,Darmstadt,2,DE,4.651162790697678
DE71,2015,4.1,Darmstadt,2,DE,-8.888888888888896
DE71,2016,4,Darmstadt,2,DE,-2.439024390243894
DE71,2017,3.5,Darmstadt,2,DE,-12.5
DE71,2018,3.1,Darmstadt,2,DE,-11.428571428571425
DE71,2019,3.1,Darmstadt,2,DE,0
DE71,2020,4.2,Darmstadt,2,DE,35.483870967741936
DE71,2021,4.1,Darmstadt,2,DE,-2.380952380952394
DE71,2022,3.9,Darmstadt,2,DE,-4.8780487804877986
DE71,2023,3.1,Darmstadt,2,DE,-20.51282051282051
DE71,2024,3.4,Darmstadt,2,DE,9.677419354838705
DE72,2013,4.5,Gießen,2,DE,NA
DE72,2014,4.5,Gießen,2,DE,0
DE72,2015,3.9,Gießen,2,DE,-13.333333333333336
DE72,2016,4,Gießen,2,DE,2.5641025641025665
DE72,2017,3.6,Gießen,2,DE,-9.999999999999998
DE72,2018,3.6,Gießen,2,DE,0
DE72,2019,3.3,Gießen,2,DE,-8.333333333333341
DE72,2020,5.2,Gießen,2,DE,57.57575757575759
DE72,2021,3.5,Gießen,2,DE,-32.69230769230769
DE72,2022,2.6,Gießen,2,DE,-25.71428571428571
DE72,2023,3,Gießen,2,DE,15.38461538461538
DE72,2024,3.7,Gießen,2,DE,23.33333333333334
DE73,2013,4.3,Kassel,2,DE,NA
DE73,2014,4.4,Kassel,2,DE,2.3255813953488498
DE73,2015,3.6,Kassel,2,DE,-18.181818181818183
DE73,2016,3.7,Kassel,2,DE,2.77777777777778
DE73,2017,2.5,Kassel,2,DE,-32.432432432432435
DE73,2018,2.9,Kassel,2,DE,15.999999999999998
DE73,2019,2.8,Kassel,2,DE,-3.448275862068969
DE73,2020,NA,Kassel,2,DE,NA
DE73,2021,3,Kassel,2,DE,NA
DE73,2022,2.4,Kassel,2,DE,-20.000000000000004
DE73,2023,2.1,Kassel,2,DE,-12.499999999999993
DE73,2024,2.2,Kassel,2,DE,4.761904761904765
DE80,2013,10.1,Mecklenburg-Vorpommern,2,DE,NA
DE80,2014,9.6,Mecklenburg-Vorpommern,2,DE,-4.9504950495049505
DE80,2015,7.8,Mecklenburg-Vorpommern,2,DE,-18.75
DE80,2016,6.3,Mecklenburg-Vorpommern,2,DE,-19.230769230769234
DE80,2017,5.2,Mecklenburg-Vorpommern,2,DE,-17.460317460317455
DE80,2018,4.9,Mecklenburg-Vorpommern,2,DE,-5.769230769230766
DE80,2019,4,Mecklenburg-Vorpommern,2,DE,-18.367346938775515
DE80,2020,4.5,Mecklenburg-Vorpommern,2,DE,12.5
DE80,2021,3.8,Mecklenburg-Vorpommern,2,DE,-15.555555555555559
DE80,2022,3.8,Mecklenburg-Vorpommern,2,DE,0
DE80,2023,4.3,Mecklenburg-Vorpommern,2,DE,13.157894736842104
DE80,2024,3.7,Mecklenburg-Vorpommern,2,DE,-13.953488372093014
DE91,2013,6.2,Braunschweig,2,DE,NA
DE91,2014,5.5,Braunschweig,2,DE,-11.290322580645164
DE91,2015,4.9,Braunschweig,2,DE,-10.909090909090903
DE91,2016,4.6,Braunschweig,2,DE,-6.122448979591851
DE91,2017,4.4,Braunschweig,2,DE,-4.347826086956506
DE91,2018,4,Braunschweig,2,DE,-9.090909090909099
DE91,2019,3.3,Braunschweig,2,DE,-17.500000000000004
DE91,2020,4.5,Braunschweig,2,DE,36.36363636363637
DE91,2021,3.9,Braunschweig,2,DE,-13.333333333333336
DE91,2022,3.1,Braunschweig,2,DE,-20.51282051282051
DE91,2023,3.1,Braunschweig,2,DE,0
DE91,2024,3.5,Braunschweig,2,DE,12.90322580645161
DE92,2013,5.4,Hannover,2,DE,NA
DE92,2014,5.2,Hannover,2,DE,-3.703703703703707
DE92,2015,4.7,Hannover,2,DE,-9.615384615384615
DE92,2016,4.7,Hannover,2,DE,0
DE92,2017,4.5,Hannover,2,DE,-4.255319148936174
DE92,2018,4.1,Hannover,2,DE,-8.888888888888896
DE92,2019,3.5,Hannover,2,DE,-14.634146341463408
DE92,2020,3.7,Hannover,2,DE,5.71428571428572
DE92,2021,2.8,Hannover,2,DE,-24.324324324324333
DE92,2022,3.1,Hannover,2,DE,10.714285714285724
DE92,2023,3,Hannover,2,DE,-3.2258064516129057
DE92,2024,3,Hannover,2,DE,0
DE93,2013,4.4,Lüneburg,2,DE,NA
DE93,2014,4,Lüneburg,2,DE,-9.090909090909099
DE93,2015,3.5,Lüneburg,2,DE,-12.5
DE93,2016,3.3,Lüneburg,2,DE,-5.71428571428572
DE93,2017,3.4,Lüneburg,2,DE,3.030303030303033
DE93,2018,2.5,Lüneburg,2,DE,-26.47058823529412
DE93,2019,2.6,Lüneburg,2,DE,4.0000000000000036
DE93,2020,3.8,Lüneburg,2,DE,46.15384615384614
DE93,2021,3.1,Lüneburg,2,DE,-18.42105263157894
DE93,2022,2.6,Lüneburg,2,DE,-16.129032258064516
DE93,2023,2.6,Lüneburg,2,DE,0
DE93,2024,2.6,Lüneburg,2,DE,0
DE94,2013,4,Weser-Ems,2,DE,NA
DE94,2014,4.1,Weser-Ems,2,DE,2.499999999999991
DE94,2015,4,Weser-Ems,2,DE,-2.439024390243894
DE94,2016,3.6,Weser-Ems,2,DE,-9.999999999999998
DE94,2017,3,Weser-Ems,2,DE,-16.666666666666668
DE94,2018,2.7,Weser-Ems,2,DE,-9.999999999999993
DE94,2019,3,Weser-Ems,2,DE,11.111111111111104
DE94,2020,3.3,Weser-Ems,2,DE,9.999999999999993
DE94,2021,3.6,Weser-Ems,2,DE,9.090909090909099
DE94,2022,2.7,Weser-Ems,2,DE,-24.999999999999996
DE94,2023,2.5,Weser-Ems,2,DE,-7.407407407407414
DE94,2024,3.1,Weser-Ems,2,DE,24.000000000000004
DEA1,2013,6.4,Düsseldorf,2,DE,NA
DEA1,2014,6.4,Düsseldorf,2,DE,0
DEA1,2015,5.9,Düsseldorf,2,DE,-7.8125
DEA1,2016,4.9,Düsseldorf,2,DE,-16.94915254237288
DEA1,2017,4.3,Düsseldorf,2,DE,-12.244897959183684
DEA1,2018,4.3,Düsseldorf,2,DE,0
DEA1,2019,3.8,Düsseldorf,2,DE,-11.627906976744185
DEA1,2020,5.1,Düsseldorf,2,DE,34.210526315789465
DEA1,2021,4.4,Düsseldorf,2,DE,-13.725490196078418
DEA1,2022,3.9,Düsseldorf,2,DE,-11.363636363636372
DEA1,2023,4,Düsseldorf,2,DE,2.5641025641025665
DEA1,2024,4.2,Düsseldorf,2,DE,5.000000000000004
DEA2,2013,5.8,Köln,2,DE,NA
DEA2,2014,5.3,Köln,2,DE,-8.620689655172415
DEA2,2015,4.8,Köln,2,DE,-9.433962264150944
DEA2,2016,3.9,Köln,2,DE,-18.75
