NUTS_label,year,GVA_GHI,GVA_total,GVA_GHI_pct,GVA_GHI_pct_diff,NUTS_level
Kerkyra,2001,667.742758,1267.181614,52.6951109945634,13.130585775246878,3
Kerkyra,2002,609.912573,1290.141915,47.274843636097195,-8.660548438325412,3
Kerkyra,2003,692.816542,1474.742876,46.978802425488034,13.592762745030356,3
Kerkyra,2004,712.428767,1584.77991,44.954429476582646,2.8307962946993213,3
Kerkyra,2005,769.729778,1655.254693,46.50219578021157,8.04305127111747,3
Kerkyra,2006,753.206713,1717.477874,43.855395426188764,-2.1466059222669145,3
Kerkyra,2007,822.718288,1793.109653,45.88220729410127,9.228751390589371,3
Kerkyra,2008,955.075939,1936.830729,49.311275616383504,16.087845977236853,3
Kerkyra,2009,779.097418,1807.576514,43.101767032584924,-18.42560510782588,3
Kerkyra,2010,678.687,1652.031165,41.08197317209812,-12.888043995545617,3
Kerkyra,2011,546.691704,1455.293296,37.56574056258141,-19.448625949811923,3
Kerkyra,2012,553.154981,1333.415445,41.48406883047616,1.182252621122647,3
Kerkyra,2013,589.701125,1338.280248,44.064098374109754,6.606854363659798,3
Kerkyra,2014,605.146154,1349.732211,44.83453451493572,2.6191282914713745,3
Kerkyra,2015,575.094696,1330.6619,43.218694095021426,-4.965983473803921,3
Kerkyra,2016,545.775959,1315.276115,41.49516232947026,-5.098071187914425,3
Kerkyra,2017,578.151379,1336.224662,43.26752794209391,5.93199818828958,3
Kerkyra,2018,607.242109,1345.782386,45.12186482131592,5.031680465817933,3
Kerkyra,2019,624.465948,1370.033955,45.58032636497685,2.8364039227062228,3
Kerkyra,2020,416.590511,1115.81015,37.33525017674377,-33.288514396304606,3
Kerkyra,2021,504.775231,1242.29013,40.63263635524497,21.16820178844641,3
Kerkyra,2022,633.947048,1415.373822,44.7900786453856,25.589967388871337,3
Kilkis,2000,108.349381,643.193867,16.84552458582445,NA,3
Kilkis,2001,118.198147,723.206157,16.343631183991707,9.089822119057619,3
Kilkis,2002,118.359216,770.992206,15.35154507126107,0.13627032579453016,3
Kilkis,2003,133.92644,799.070592,16.76027641873223,13.152523754466241,3
Kilkis,2004,147.118759,923.272595,15.934487798806593,9.850421619509932,3
Kilkis,2005,146.775786,926.903145,15.835072606210653,-0.23312662663229822,3
Kilkis,2006,148.649745,933.635771,15.921599152181585,1.2767494224149376,3
Kilkis,2007,174.045784,1121.247803,15.522508363835785,17.084482048724674,3
Kilkis,2008,189.338749,1125.531591,16.82216212445698,8.786748319051503,3
Kilkis,2009,185.384059,1058.471594,17.514315929766934,-2.08868497382963,3
Kilkis,2010,182.453947,1001.407881,18.219743469344635,-1.5805630839057248,3
Kilkis,2011,168.681884,919.696023,18.341047452806045,-7.548240652749487,3
Kilkis,2012,174.598087,837.161678,20.855957885831458,3.507313802589492,3
Kilkis,2013,154.491027,794.542717,19.44401775946302,-11.516197196364466,3
Kilkis,2014,152.042014,784.226758,19.387506540550863,-1.5852137483687048,3
Kilkis,2015,151.55458,820.170695,18.47841930026529,-0.32059164909510307,3
Kilkis,2016,154.578411,814.30985,18.9827509761794,1.9952092506871133,3
Kilkis,2017,156.412832,794.962177,19.675506146753445,1.1867252277551361,3
Kilkis,2018,168.286362,796.94678,21.116386466860437,7.591148276120969,3
Kilkis,2019,165.977181,812.909173,20.41767844585511,-1.3721735811247706,3
Kilkis,2020,149.648805,763.298796,19.60553400375074,-9.837723415726641,3
Kilkis,2021,165.758889,835.302118,19.844183969853173,10.765260704888355,3
Kilkis,2022,194.965129,954.09775,20.43450254441958,17.61971269003859,3
Korinthia,2000,357.440088,1513.862008,23.611140652920067,NA,3
Korinthia,2001,365.391697,1639.332882,22.289048247127152,2.2245991054030902,3
Korinthia,2002,353.897427,1653.46842,21.40333753698181,-3.1457392421262456,3
Korinthia,2003,400.693461,1798.258015,22.282311974013364,13.223050078858027,3
