geo,NUTS_label,NUTS_label_el,NUTS_level,year,GFCF_GHI,GFCF_Total,GFCF_pct,GFCF_pct_diff
EL63,Dytiki Ellada,Δυτική Ελλάδα,2,2019,162.38555641879847,1050.8938901687334,15.452136313469818,127.38576012896236
EL63,Dytiki Ellada,Δυτική Ελλάδα,2,2020,72.40511766081329,1025.8649299707556,7.057958172220327,-55.411602326208275
EL63,Dytiki Ellada,Δυτική Ελλάδα,2,2021,122.87195257433284,1296.8946198225844,9.474320480344176,69.70064623047072
EL63,Dytiki Ellada,Δυτική Ελλάδα,2,2022,131.82000666390405,1469.9869716897051,8.967426868578364,7.282421986545697
EL53,Dytiki Makedonia,Δυτική Μακεδονία,2,2000,30.347961901953777,1037.2034727603889,2.925941023045982,NA
EL53,Dytiki Makedonia,Δυτική Μακεδονία,2,2001,31.735061219660565,1167.058938334866,2.719233808785994,4.570650649253279
EL53,Dytiki Makedonia,Δυτική Μακεδονία,2,2002,49.62607510894353,1005.0045362372488,4.937895633261942,56.376175755410515
EL53,Dytiki Makedonia,Δυτική Μακεδονία,2,2003,52.72996176638087,1164.0743691831826,4.529776031696399,6.254547938001162
EL53,Dytiki Makedonia,Δυτική Μακεδονία,2,2004,45.21374286818378,1312.8934412861545,3.4438242622257964,-14.254170961658494
EL53,Dytiki Makedonia,Δυτική Μακεδονία,2,2005,59.83239110535431,1441.4487899021294,4.150850971918105,32.332311615496565
EL53,Dytiki Makedonia,Δυτική Μακεδονία,2,2006,44.09821403147093,1672.2635477938486,2.637037331205836,-26.29708888982602
EL53,Dytiki Makedonia,Δυτική Μακεδονία,2,2007,46.06894208154384,1852.703020598425,2.486579962862236,4.4689520729036465
EL53,Dytiki Makedonia,Δυτική Μακεδονία,2,2008,37.23682848035853,2296.404983657335,1.6215270714599241,-19.171513827150875
EL53,Dytiki Makedonia,Δυτική Μακεδονία,2,2009,40.629262237556006,2713.396968362535,1.4973578400537064,9.110426144339586
EL53,Dytiki Makedonia,Δυτική Μακεδονία,2,2010,58.332837047186814,1369.2775005437627,4.260117983682773,43.57345872076003
EL53,Dytiki Makedonia,Δυτική Μακεδονία,2,2011,18.908320605859732,773.7802855563798,2.443629148843444,-67.58546032903502
EL53,Dytiki Makedonia,Δυτική Μακεδονία,2,2012,22.320479000998443,999.82096351578,2.232447589667504,18.045803571160494
EL53,Dytiki Makedonia,Δυτική Μακεδονία,2,2013,14.860797676771623,865.3472690032913,1.7173218439677194,-33.42079407835796
EL53,Dytiki Makedonia,Δυτική Μακεδονία,2,2014,19.73937964927108,987.5595299345262,1.9988040265866072,32.82853369388772
EL53,Dytiki Makedonia,Δυτική Μακεδονία,2,2015,23.123661177051577,988.0038998864773,2.340442297819726,17.144822116562665
EL53,Dytiki Makedonia,Δυτική Μακεδονία,2,2016,26.898443450820135,967.741625351145,2.7795067140012746,16.32432790320736
