geo,year,Hotel_Arrivals_Total
EL422,2015,47803.0
EL422,2015,75668.0
EL422,2015,29637.0
EL422,2015,46009.0
EL422,2016,22337.0
EL422,2016,196348.0
EL422,2016,24490.0
EL422,2016,321950.0
EL422,2016,50511.0
EL422,2016,74766.0
EL422,2016,31080.0
EL422,2016,34428.0
EL422,2017,26234.0
EL422,2017,217205.0
EL422,2017,21175.0
EL422,2017,387310.0
EL422,2017,50868.0
EL422,2017,91994.0
EL422,2017,31395.0
EL422,2017,42448.0
EL422,2018,29015.0
EL422,2018,602277.0
EL422,2018,60048.0
EL422,2018,543949.0
EL422,2018,140492.0
EL422,2018,142406.0
EL422,2018,67493.0
EL422,2018,64392.0
EL422,2019,29480.0
EL422,2019,705547.0
EL422,2019,55913.0
EL422,2019,616267.0
EL422,2019,157939.0
EL422,2019,160131.0
EL422,2019,68901.0
EL422,2019,63792.0
EL422,2020,9613.0
EL422,2020,143752.0
EL422,2020,25799.0
EL422,2020,110027.0
EL422,2020,47367.0
EL422,2020,41541.0
EL422,2020,29512.0
EL422,2020,30365.0
EL422,2021,18746.0
EL422,2021,307545.0
EL422,2021,37051.0
EL422,2021,282734.0
EL422,2021,72432.0
EL422,2021,92689.0
EL422,2021,47760.0
EL422,2021,25683.0
EL422,2022,26562.0
EL422,2022,672511.0
EL422,2022,53354.0
EL422,2022,588852.0
EL422,2022,138026.0
EL422,2022,148186.0
EL422,2022,58130.0
EL422,2022,55596.0
EL422,2023,29347.0
EL422,2023,797168.0
EL422,2023,64954.0
EL422,2023,651399.0
EL422,2023,158718.0
EL422,2023,185172.0
EL422,2023,68325.0
EL422,2023,63456.0
EL515,2015,129449.0
EL515,2015,158445.0
EL515,2016,141528.0
EL515,2016,150870.0
EL515,2017,144654.0
EL515,2017,157486.0
EL515,2018,199525.0
EL515,2018,161749.0
EL515,2019,202643.0
EL515,2019,168534.0
EL515,2020,60725.0
EL515,2020,46237.0
EL515,2021,111126.0
EL515,2021,73397.0
EL515,2022,169204.0
EL515,2022,141980.0
EL515,2023,193358.0
EL515,2023,163908.0
EL531,2015,3708.0
EL531,2015,41197.0
EL531,2016,2462.0
EL531,2016,40219.0
EL531,2017,7355.0
EL531,2017,45032.0
EL531,2018,5741.0
EL531,2018,48779.0
EL531,2019,7731.0
EL531,2019,50832.0
EL531,2020,4455.0
EL531,2020,27423.0
EL531,2021,3733.0
EL531,2021,36550.0
EL531,2022,6736.0
EL531,2022,49671.0
EL531,2023,9123.0
EL531,2023,57372.0
EL541,2015,30381.0
EL541,2015,75124.0
EL541,2016,31309.0
EL541,2016,82410.0
EL541,2017,32174.0
EL541,2017,96694.0
EL541,2018,30479.0
EL541,2018,108217.0
EL541,2019,31812.0
EL541,2019,110381.0
EL541,2020,17542.0
EL541,2020,73689.0
EL541,2021,20126.0
EL541,2021,66800.0
EL541,2022,31398.0
EL541,2022,104826.0
EL541,2023,40910.0
EL541,2023,123873.0
EL611,2015,71891.0
EL611,2015,278172.0
EL611,2016,85643.0
EL611,2016,233615.0
EL611,2017,85698.0
EL611,2017,303214.0
EL611,2018,74855.0
EL611,2018,404320.0
EL611,2019,87918.0
EL611,2019,438776.0
EL611,2020,33534.0
EL611,2020,80878.0
EL611,2021,38794.0
EL611,2021,107398.0
EL611,2022,74668.0
EL611,2022,308426.0
EL611,2023,75550.0
EL611,2023,344250.0
EL613,2015,248428.0
EL613,2015,106727.0
EL613,2016,264383.0
EL613,2016,114194.0
EL613,2017,294178.0
EL613,2017,124336.0
EL613,2018,337679.0
EL613,2018,155225.0
EL613,2019,334771.0
EL613,2019,154304.0
EL613,2020,180877.0
EL613,2020,61391.0
EL613,2021,234811.0
EL613,2021,90349.0
